pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0006	 0.0212	 0.0025	  222.58 	   34.549	   33.967	1.617	10	 ---	274.37081713062	0.0881	-19.70776338675	0.0832	4094457267511689728	  0.639  	0.0905	  1.711	0.178	 -0.498	0.144	0	     2729.0 	     12.261  	17.0984	0.0049	      940.32 	      27.217   	17.9182	0.0314	      3473.5 	    102.26    	15.91  	0.032 	 2.0082	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Dias_5
 0.1351	-0.0908	 0.051 	  977.664	  131.427	  181.141	1.263	11	 ---	274.39723885445	0.0683	-19.84103725711	0.0638	4094451117118710784	  0.797  	0.07  	  2.225	0.138	 -0.23 	0.117	0	     3921.6 	      4.0112 	16.7047	0.0011	     1686.3  	      12.831   	17.2841	0.0083	      3264.9 	     18.024   	15.9772	0.006 	 1.3068	   --- 	 --- 	4763.59	0.556 	0.272 	  0.78	    0.286	  0.1  	Dias_5
 0.0119	-0.1463	 0.1647	 2456.71 	  396.215	  505.536	1.204	11	 ---	274.3313327692 	0.0236	-19.74264467825	0.0226	4094455652603987840	  0.7596 	0.027 	  1.851	0.048	 -0.674	0.039	0	    88192.0 	     35.899  	13.3248	0.0004	    53855.0  	     135.92    	13.5233	0.0027	     52350.0 	    103.55    	12.9646	0.0021	 0.5587	   --- 	 --- 	7348.27	---   	---   	  1.51	    5.991	  0.5  	Dias_5
-0.1582	 0.1059	-0.1065	 2372.21 	  477.003	  563.814	1.246	10	 ---	274.41334936906	0.0265	-19.66784392421	0.0256	4094457817267504640	  0.7239 	0.0293	  2.343	0.058	 -1.253	0.047	0	    48335.0 	     20.375  	13.9777	0.0005	    25912.0  	      54.323   	14.3176	0.0023	     34336.0 	     60.899   	13.4226	0.0019	 0.8951	   --- 	 --- 	5430.77	---   	---   	  2.19	    3.752	  0.9  	Dias_5
 0.0173	-0.0038	 0.0153	  564.64 	   48.219	   29.04 	2.281	10	 ---	274.37980460156	0.1507	-19.71899398741	0.141 	4094457198783099648	  0.8114 	0.1514	  1.456	0.3  	 -1.7  	0.244	0	     1398.9 	      2.4776 	17.8239	0.0019	      713.8  	      14.803   	18.2174	0.0225	      2477.5 	     85.314   	16.2769	0.0374	 1.9405	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Dias_5
 0.128 	 0.0199	-0.0701	  718.648	   28.567	   88.777	1.582	10	 ---	274.34871532114	0.1116	-19.71145934451	0.1055	4094457164432486912	  0.7049 	0.1107	  1.215	0.226	 -0.39 	0.187	0	     2078.2 	      2.8918 	17.3942	0.0015	      882.9  	      30.906   	17.9866	0.038 	      2403.8 	     27.076   	16.3097	0.0122	 1.6769	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Dias_5
 0.1562	-0.1131	 0.1366	 1573.066	  172.876	  473.14 	1.35 	11	 ---	274.29648347399	0.0422	-19.78029824141	0.0389	4094455034128692992	  0.7574 	0.0453	  1.321	0.083	 -0.883	0.07 	0	    10239.0 	      6.5088 	15.6627	0.0007	     4135.9  	      23.924   	16.31  	0.0063	      9682.2 	     20.464   	14.797 	0.0023	 1.513 	   --- 	 --- 	4377.06	---   	---   	  1.7 	    0.954	  0.4  	Dias_5
-0.2298	-0.0321	 0.0155	 2677.965	  286.326	  577.443	1.332	 9	 ---	274.37326110494	0.037 	-19.69373259891	0.0343	4094457301871437312	  0.5502 	0.035 	  1.621	0.074	 -1.33 	0.058	0	    21788.0 	      8.1359 	14.8428	0.0004	     8219.1  	      28.705   	15.5643	0.0038	     20800.0 	     36.021   	13.9667	0.0019	 1.5976	   --- 	 --- 	4355.0 	---   	---   	  3.46	    3.886	  0.2  	Dias_5
-0.0573	-0.1078	 0.0676	 1722.081	  572.825	  592.652	1.167	11	 ---	274.3191891608 	0.0469	-19.74131152551	0.0433	4094455618244258304	  0.626  	0.0506	  1.774	0.094	 -0.655	0.079	1	  4482000.0 	   2602.7    	 9.0597	0.0006	  3110400.0  	    5429.9     	 9.1194	0.0019	   2122100.0 	   3580.6     	 8.945 	0.0018	 0.1743	   --- 	 --- 	8788.0 	0.632 	0.3165	  --- 	    ---  	  0.6  	Dias_5
