pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.001 	-0.1479	 0.1047	  853.378	   53.667	  147.963	1.325	17	 ---	304.12659412553	0.0835	 36.737214597  	0.1017	2060466785954762240	  0.4103 	0.112 	 -2.498	0.182	 -5.567	0.201	0	     1230.2 	      1.4415 	17.9635	0.0013	      423.64 	       7.8939  	18.7839	0.0202	      1206.3 	      8.153   	17.0582	0.0073	 1.7257	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Dolidze_3
-0.0252	-0.1824	-0.0164	 1485.489	  141.18 	  383.396	1.325	16	 ---	303.97141572492	0.0267	 36.63591467755	0.0311	2060464419444857600	  0.497  	0.0359	 -2.702	0.057	 -5.609	0.063	0	     7337.0 	      4.9391 	16.0246	0.0007	     2533.3  	      17.944   	16.8422	0.0077	      7190.3 	     18.754   	15.12  	0.0028	 1.7221	   --- 	 --- 	3994.0 	---   	---   	  2.93	    1.962	  0.4  	Dolidze_3
 0.0733	-0.2153	 0.0241	 1223.107	   67.473	  152.777	1.409	16	 ---	304.0688107852 	0.0537	 36.72915958063	0.0662	2060466549748610688	  0.5019 	0.0738	 -2.816	0.12 	 -5.987	0.131	0	     2566.1 	      2.098  	17.1652	0.0009	      820.2  	      12.156   	18.0666	0.0161	      2794.3 	     18.29    	16.1463	0.0071	 1.9203	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Dolidze_3
 0.0202	-0.1303	-0.0348	 2768.007	  663.834	  595.399	1.241	17	 ---	303.96510632453	0.0125	 36.86047633536	0.0147	2060518398596378880	  0.4894 	0.0167	 -3.289	0.027	 -5.343	0.029	0	    53905.0 	     19.474  	13.8593	0.0004	    27539.0  	      41.485   	14.2515	0.0016	     39379.0 	     66.139   	13.2738	0.0018	 0.9778	   --- 	 --- 	5312.71	---   	---   	  3.6 	    9.294	  0.2  	Dolidze_3
 0.031 	-0.2841	-0.2416	 3994.161	  403.037	  780.013	1.236	16	 ---	303.8455896442 	0.0181	 36.83346904072	0.019 	2060517333444634496	  0.4686 	0.0248	 -2.967	0.041	 -5.594	0.039	1	    21037.0 	      5.2669 	14.8809	0.0003	    10429.0  	      25.877   	15.3057	0.0027	     15580.0 	     19.974   	14.2805	0.0014	 1.0252	   --- 	 --- 	5192.2 	---   	---   	  2.48	    4.028	  0.6  	Dolidze_3
-0.0188	-0.1648	-0.1896	 3780.525	  390.543	  586.186	1.232	17	 ---	303.86603034118	0.0181	 36.85979912507	0.0191	2060518948352337152	  0.5049 	0.0231	 -2.906	0.038	 -5.689	0.037	0	    23624.0 	      6.249  	14.755 	0.0003	    12290.0  	      31.469   	15.1275	0.0028	     16811.0 	     28.679   	14.1979	0.0019	 0.9296	   --- 	 --- 	5251.47	---   	---   	  2.37	    3.861	  0.7  	Dolidze_3
 0.0428	-0.2927	-0.1838	 4658.905	  768.275	 1024.891	1.24 	15	 ---	303.868610216  	0.0166	 36.73815727623	0.018 	2060515718536789632	  0.5886 	0.0236	 -2.535	0.034	 -4.766	0.036	0	    30885.0 	      6.6293 	14.464 	0.0002	    15058.0  	      19.6     	14.907 	0.0014	     23242.0 	     22.677   	13.8462	0.0011	 1.0607	   --- 	 --- 	5058.06	---   	---   	  2.55	    3.841	  0.3  	Dolidze_3
-0.079 	-0.2177	-0.1144	 2582.619	  441.978	  675.134	1.233	17	 ---	303.74210446114	0.0139	 36.9792831748 	0.0155	2060533894838866304	  0.4665 	0.019 	 -2.821	0.031	 -5.533	0.03 	0	    36940.0 	     14.303  	14.2696	0.0004	    18692.0  	      42.291   	14.6723	0.0025	     26873.0 	     39.803   	13.6886	0.0016	 0.9836	   --- 	 --- 	5190.21	---   	---   	  3.3 	    7.139	  0.5  	Dolidze_3
 0.0132	-0.1763	-0.1325	 1734.681	  419.025	  233.198	1.296	17	 ---	303.86132915581	0.0255	 36.81379147365	0.0286	2060516504496370816	  0.5224 	0.035 	 -3.094	0.053	 -5.713	0.056	0	    32725.0 	     18.865  	14.4012	0.0006	    17067.0  	      40.73    	14.771 	0.0026	     25340.0 	    108.67    	13.7524	0.0047	 1.0186	   --- 	 --- 	5155.05	---   	---   	  2.82	    5.073	  0.7  	Dolidze_3
