pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0201	-0.1483	-0.1322	 1375.607	   78.429	  191.647	1.335	13	 ---	221.14394143773	0.0568	-59.26950958005	0.062 	5879003981277952128	  0.2985 	0.0808	 -5.332	0.154	 -3.005	0.166	0	     3120.0 	      2.2681 	16.953 	0.0008	     1019.7  	      13.002   	17.8302	0.0138	      3146.3 	     16.417   	16.0174	0.0057	 1.8127	   --- 	 --- 	3934.0 	---   	---   	  --- 	    ---  	  0.4  	ESO_134_12
-0.0658	-0.1427	 0.0612	 2944.902	  434.94 	  806.631	1.355	14	 ---	220.97391193326	0.0216	-59.23004088024	0.0209	5879007554690584448	  0.3226 	0.0282	 -5.197	0.057	 -2.776	0.054	0	    19163.0 	      6.5071 	14.9822	0.0004	     6013.0  	      13.825   	15.9037	0.0025	     19957.0 	     24.741   	14.0117	0.0013	 1.892 	   --- 	 --- 	4032.3 	1.599 	0.784 	  7.07	   11.903	  0.3  	ESO_134_12
-0.0746	-0.0739	 0.0285	 3743.844	  338.024	  634.031	1.458	14	 ---	221.02965822464	0.0306	-59.22879592523	0.0305	5879007898287964416	  0.287  	0.0411	 -5.672	0.089	 -2.547	0.075	0	    53025.0 	     14.163  	13.8772	0.0003	    10257.0  	      30.345   	15.3238	0.0032	     67078.0 	    105.8     	12.6955	0.0017	 2.6283	   --- 	 --- 	3803.65	2.333 	1.16  	  --- 	    ---  	  0.2  	ESO_134_12
 0.0231	-0.1872	 0.0964	 1003.923	   56.55 	  200.245	1.398	13	 ---	220.95766528175	0.0777	-59.20070572277	0.0758	5879008207525627776	  0.4289 	0.1062	 -5.678	0.22 	 -3.139	0.193	0	     1668.8 	      1.6622 	17.6324	0.0011	      395.12 	       6.9872  	18.8596	0.0192	      1937.4 	      9.6754  	16.5438	0.0054	 2.3157	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ESO_134_12
 0.0899	-0.2684	-0.0655	  856.406	   31.377	  140.127	1.456	13	 ---	221.11406335669	0.0877	-59.26567853298	0.0904	5879004698518232832	  0.4189 	0.1258	 -5.486	0.258	 -2.34 	0.231	0	     1363.5 	      1.5922 	17.8517	0.0013	      306.26 	       9.7608  	19.1362	0.0346	      1679.6 	     11.986   	16.6989	0.0077	 2.4372	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ESO_134_12
-0.0238	-0.1516	-0.1491	 1021.413	   74.407	  418.654	1.603	13	 ---	221.06961307902	0.0737	-59.24320490739	0.0824	5879004977710395264	  0.274  	0.1056	 -5.166	0.204	 -3.03 	0.23 	0	     5209.4 	      5.1002 	16.3964	0.0011	      657.21 	       8.8326  	18.3071	0.0146	      7695.8 	     18.382   	15.0463	0.0026	 3.2608	   --- 	 --- 	4202.07	2.919 	1.465 	  --- 	    ---  	  0.3  	ESO_134_12
-0.0972	-0.1281	 0.0124	 2218.343	  296.903	  606.738	1.312	14	 ---	221.05360734361	0.0278	-59.23348605758	0.0284	5879005046429674496	  0.3877 	0.0385	 -5.315	0.07 	 -2.956	0.068	0	    10733.0 	      4.8381 	15.6116	0.0005	     3984.3  	      13.419   	16.3505	0.0037	     10101.0 	     16.648   	14.751 	0.0018	 1.5995	   --- 	 --- 	4347.25	---   	---   	  3.47	    3.869	  0.8  	ESO_134_12
 0.2057	-0.3318	-0.1546	 1059.369	   95.797	  274.292	1.372	12	 ---	220.93776648491	0.0659	-59.1525648373 	0.0687	5879009272677544320	  0.4741 	0.089 	 -4.645	0.188	 -2.209	0.172	0	     2450.2 	      2.3129 	17.2154	0.001 	      711.47 	       7.4269  	18.221 	0.0113	      2649.6 	      9.6596  	16.204 	0.004 	 2.017 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ESO_134_12
-0.0238	-0.2171	 0.0294	  810.603	   23.401	  134.334	1.509	13	 ---	220.95458446135	0.0915	-59.15352687472	0.0862	5879009375756757248	  0.5303 	0.1213	 -5.316	0.251	 -2.546	0.213	0	     1339.9 	      1.6529 	17.8707	0.0013	      315.18 	      13.469   	19.105 	0.0464	      1706.8 	     12.705   	16.6815	0.0081	 2.4235	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ESO_134_12
