pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.0547	-0.1832	 0.3493	 2652.952000000	   429.991000000	  553.712000000	1.270	12	254.20292783508	0.0412	-40.65768928294	0.0325	5966671067009903616	  0.7499 	0.0439	 -2.164	0.076	-11.687	0.055	0	    14671.00000	      5.52990	15.272200	0.000400	     6704.00000	     15.59100 	15.785500	0.002500	    11930.00000	     21.54500	14.570300	0.002000	 1.2152	       	     	4880.4 	1.4000	0.7000	  1.51	    1.170	0.00
-0.2398	-0.1841	 0.4748	 2273.959000000	   221.510000000	   50.653000000	1.390	11	254.20334663856	0.0444	-40.65079127180	0.0401	5966671067009946240	  0.3679 	0.0517	 -0.902	0.088	 -2.741	0.068	0	    14401.00000	      6.33290	15.292400	0.000500	     5721.70020	     25.83100 	15.957600	0.004900	    14295.00000	    282.20999	14.374000	0.021400	 1.5836	       	     	4494.9 	      	      	      	         	0.00
 0.3643	-0.1894	 0.3381	 1083.459000000	    69.813000000	  167.621000000	1.462	12	254.20529668247	0.1229	-40.65710835048	0.0957	5966671067009903104	  0.6268 	0.1221	 -2.131	0.245	 -4.611	0.169	0	     2662.19995	      2.45720	17.125200	0.001000	      991.21002	     14.19800 	17.861000	0.015600	     2901.19995	     17.30800	16.105500	0.006500	 1.7555	       	     	       	      	      	      	         	0.00
 0.6819	-0.0861	 0.1619	 1158.272000000	   124.783000000	  169.736000000	1.411	 9	254.19644974832	0.1352	-40.65122195995	0.0969	5966671067009907328	  0.5593 	0.1073	 -2.733	0.354	 -5.777	0.205	0	     3277.10010	      2.82930	16.899600	0.000900	     1289.69995	     10.33600 	17.575100	0.008700	     3332.69995	     19.63400	15.954900	0.006400	 1.6202	       	     	4413.7 	      	      	      	         	0.00
 0.5167	-0.1441	 0.2641	  816.942000000	    63.290000000	  115.192000000	1.413	11	254.18513134279	0.1414	-40.66513634227	0.1073	5966671028344678528	  0.8747 	0.1330	 -1.088	0.323	 -4.101	0.209	0	     1849.30005	      2.26370	17.520800	0.001300	      755.50000	     11.93700 	18.155800	0.017200	     1857.50000	     16.12600	16.589600	0.009400	 1.5662	       	     	       	      	      	      	         	0.00
 0.3607	-0.1545	 0.3487	 1557.129000000	   154.559000000	  399.394000000	1.375	11	254.19438969370	0.0664	-40.65819406465	0.0527	5966671062703354496	  0.4520 	0.0735	 -1.760	0.155	 -1.627	0.103	1	     5498.10010	      3.53090	16.337800	0.000700	     1979.50000	     12.80700 	17.110000	0.007000	     5580.29980	     13.97200	15.395300	0.002700	 1.7147	       	     	4150.9 	      	      	      	         	0.00
-0.0098	-0.1685	 0.3427	 2650.516000000	   407.397000000	  580.593000000	1.257	12	254.19658706824	0.0384	-40.65678229984	0.0305	5966671067009906048	  0.5406 	0.0417	 -1.994	0.070	 -3.451	0.052	0	    16734.00000	      6.31360	15.129300	0.000400	     8246.50000	     20.24200 	15.560700	0.002700	    12782.00000	     22.01500	14.495400	0.001900	 1.0653	       	     	5056.2 	1.6477	0.8637	  2.05	    2.468	0.00
 0.3815	-0.1694	 0.2470	  866.438000000	    79.566000000	  331.201000000	1.404	12	254.14587629014	0.1082	-40.66266279036	0.0820	5966671170089125760	  0.4182 	0.1039	  1.091	0.215	 -2.517	0.147	0	     2706.10010	      3.12320	17.107500	0.001300	     1039.59998	     13.06600 	17.809200	0.013600	     2759.39990	      8.33150	16.159900	0.003300	 1.6493	       	     	       	      	      	      	         	0.00
 0.3799	-0.1689	 0.2486	  889.052000000	    90.690000000	   92.832000000	1.477	12	254.16103046821	0.1112	-40.66418679174	0.0844	5966671204440520576	  0.6624 	0.1052	  0.268	0.219	  4.632	0.151	0	     2633.00000	      2.96160	17.137200	0.001200	     1014.00000	     11.18100 	17.836300	0.012000	     2874.19995	     30.96100	16.115600	0.011700	 1.7207	       	     	       	      	      	      	         	0.00
 0.6471	 0.0631	 0.3552	  734.755000000	    65.822000000	  104.134000000	1.390	10	254.16045471154	0.1482	-40.66271209953	0.1118	5966671200143371776	  0.7562 	0.1486	 -1.036	0.393	  2.368	0.244	0	     2039.19995	      2.77540	17.414700	0.001500	      892.21002	     13.55500 	17.975200	0.016500	     1942.00000	     18.64900	16.541300	0.010400	 1.4339	       	     	       	      	      	      	         	0.00
