pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.0146	-0.1766	-0.1049	  520.360000000	    20.427000000	  135.392000000	1.618	17	306.33895099998	0.1427	 40.16727105904	0.1487	2067479299314504192	  0.2578 	0.1788	 -0.193	0.321	  2.926	0.290	0	      635.19000	      1.22070	18.681100	0.002100	      145.06000	      7.10160 	19.947500	0.053200	      882.83002	      6.52060	17.397200	0.008000	 2.5503	       	     	       	      	      	      	         	0.00
-0.1060	-0.1083	-0.0575	 1582.618000000	   148.082000000	  629.720000000	1.457	16	306.41148560649	0.0322	 40.19846031568	0.0389	2067479578491424512	  0.5739 	0.0407	 -3.620	0.072	 -4.674	0.086	0	     7062.79980	      4.46270	16.065900	0.000700	     1979.40002	     13.36700 	17.110000	0.007300	     8313.90039	     13.20300	14.962400	0.001700	 2.1476	       	     	3833.8 	2.6925	1.4050	  2.85	    1.579	0.98
-0.2289	 0.0300	-0.0918	 1288.873000000	    97.587000000	  448.365000000	1.483	15	306.41104361775	0.0398	 40.19585758500	0.0483	2067479578491423872	  0.5259 	0.0503	 -4.027	0.094	 -5.157	0.116	0	     6126.50000	      4.75340	16.220300	0.000800	     1689.69995	     17.31500 	17.281900	0.011100	     7393.29980	     16.48900	15.089800	0.002400	 2.1920	       	     	3789.1 	2.5835	1.3150	  3.01	    1.681	0.00
-0.0927	-0.1820	-0.1657	 1696.844000000	   950.722000000	 1489.464000000	1.177	17	306.40537994191	0.0474	 40.18953151579	0.0565	2067479574192400896	  1.1614 	0.0627	 -0.887	0.107	 -2.624	0.111	0	   981560.00000	    578.46002	10.708600	0.000600	   655970.00000	    689.96997 	10.809200	0.001100	   499390.00000	    335.28000	10.515800	0.000700	 0.2934	       	     	8541.8 	      	      	      	         	0.00
-0.0602	-0.1380	 0.0071	 1084.534000000	    41.987000000	  272.157000000	1.777	16	306.40880195742	0.0730	 40.19893078149	0.0888	2067479578491425024	  0.2894 	0.0932	 -2.230	0.164	 -4.552	0.183	0	     2262.00000	      2.08570	17.302100	0.001000	      378.69000	      9.01930 	18.905700	0.025900	     3639.89990	     13.37400	15.859200	0.004000	 3.0465	       	     	       	      	      	      	         	0.30
-0.0418	-0.1555	-0.0367	  943.501000000	    56.321000000	  249.112000000	1.540	17	306.37447799461	0.0701	 40.18331105700	0.0772	2067479647210905344	  0.7222 	0.0876	 -3.119	0.153	 -5.573	0.153	0	     1747.40002	      1.85200	17.582400	0.001200	      466.35001	      8.28020 	18.679600	0.019300	     2223.89990	      8.92750	16.394100	0.004400	 2.2855	       	     	       	      	      	      	         	0.11
-0.0326	-0.2398	-0.0789	  677.514000000	    22.238000000	  144.053000000	1.718	17	306.36465202286	0.1259	 40.19668446186	0.1265	2067479711631377408	  0.1660 	0.1529	 -1.041	0.285	 -4.208	0.246	0	      891.84998	      1.31640	18.312600	0.001600	      197.50999	      8.88160 	19.612400	0.048800	     1334.69995	      9.26520	16.948500	0.007500	 2.6639	       	     	       	      	      	      	         	0.00
 0.0024	-0.2826	-0.0883	  840.936000000	    32.422000000	  199.937000000	1.526	17	306.35441141194	0.0859	 40.17378053884	0.0916	2067479681570646144	  0.6854 	0.1083	  2.052	0.189	  4.294	0.177	0	     1458.00000	      1.73380	17.779000	0.001300	      309.04999	      9.53190 	19.126300	0.033500	     1916.19995	      9.58420	16.555800	0.005400	 2.5705	       	     	       	      	      	      	         	0.00
-0.1029	-0.1529	-0.1492	 1068.548000000	   192.127000000	  343.551000000	1.454	17	306.37543432650	0.0419	 40.17974628521	0.0413	2067479642911891712	  0.4277 	0.0509	 -3.371	0.095	 -4.136	0.085	0	    11786.00000	     11.03000	15.509900	0.001000	     2682.89990	     13.96400 	16.779900	0.005700	    14459.00000	     42.08600	14.361600	0.003200	 2.4183	       	     	3505.0 	2.7233	1.3740	  6.65	    6.004	0.94
-0.0168	-0.2298	-0.0101	  868.027000000	    37.270000000	  245.199000000	1.502	17	306.36976981733	0.0856	 40.19872871311	0.0934	2067479814710594176	  0.9891 	0.1111	  4.342	0.197	  0.862	0.186	0	     1462.59998	      1.68500	17.775600	0.001300	      419.82999	     11.26500 	18.793700	0.029100	     1776.90002	      7.24660	16.637800	0.004400	 2.1559	       	     	       	      	      	      	         	0.00
