pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1999	-0.0   	 0.2684	 1285.732	  173.521	  288.634	1.295	18	 ---	  7.69398162013	0.0496	 62.31674253863	0.0445	 430360675168944256	  0.2933 	0.0638	 -3.021	0.098	 -0.784	0.079	0	     3272.9 	      2.5456 	16.901 	0.0008	     1357.1  	       7.8211  	17.5198	0.0063	      2879.8 	      9.9773  	16.1135	0.0038	 1.4063	   --- 	 --- 	4531.49	---   	---   	  --- 	    ---  	  0.2  	FSR_0498
-0.1962	-0.0782	 0.1721	  515.565	   52.648	  135.962	1.355	19	 ---	  7.25233820476	0.0875	 62.40604209099	0.0825	 430365691690633216	  0.3175 	0.1091	 -2.854	0.169	 -0.751	0.145	0	     1226.2 	      2.3785 	17.9669	0.0021	      505.65 	       9.6043  	18.5918	0.0206	      1155.7 	      8.4999  	17.1048	0.008 	 1.4869	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0498
-0.2067	-0.0176	 0.1921	 1239.533	  188.185	  230.801	1.274	18	 ---	  7.29968993782	0.0455	 62.39497255707	0.0398	 430365416812739840	  0.3455 	0.0562	 -3.268	0.096	 -0.706	0.069	0	     3914.6 	      3.1581 	16.7066	0.0009	     1734.2  	       9.2154  	17.2536	0.0058	      3252.8 	     14.093   	15.9813	0.0047	 1.2724	   --- 	 --- 	4802.02	---   	---   	  --- 	    ---  	  0.7  	FSR_0498
-0.2356	-0.0773	 0.2058	 1488.017	  175.901	  259.292	1.268	18	 ---	  7.33990843529	0.0501	 62.39981921958	0.0426	 430365382453001344	  0.3145 	0.0597	 -3.405	0.092	 -0.619	0.073	0	     3673.1 	      2.4685 	16.7758	0.0007	     1712.5  	       9.7359  	17.2673	0.0062	      2944.6 	     11.356   	16.0893	0.0042	 1.1779	   --- 	 --- 	4899.0 	---   	---   	  --- 	    ---  	  0.5  	FSR_0498
-0.2082	-0.0356	 0.2155	 1523.287	  401.937	  457.826	1.199	19	 ---	  7.3725707146 	0.0132	 62.2728624827 	0.0132	 430362393155866880	  0.3177 	0.0182	 -3.331	0.026	 -0.702	0.023	0	    66383.0 	     43.579  	13.6332	0.0007	    41535.0  	     103.34    	13.8053	0.0027	     38050.0 	     83.11    	13.311 	0.0024	 0.4943	   --- 	 --- 	7493.67	0.4   	0.2225	  3.02	   25.94 	  0.9  	FSR_0498
-0.1963	-0.2101	 0.3084	 2074.661	  347.311	  428.262	1.227	19	 ---	  7.31716438793	0.0282	 62.40490734067	0.0275	 430365451172472064	  0.3202 	0.0395	 -3.279	0.053	 -0.644	0.048	0	     8301.1 	      4.0012 	15.8905	0.0005	     4351.6  	      12.529   	16.2548	0.0031	      5833.0 	     13.62    	15.3472	0.0025	 0.9076	   --- 	 --- 	5516.0 	1.4847	0.7278	  1.98	    3.264	  0.7  	FSR_0498
-0.1576	-0.175 	 0.2123	 2939.341	  405.258	 1486.027	1.194	19	 ---	  7.32756487667	0.0205	 62.41163727065	0.0213	 430365554251682176	  0.3826 	0.028 	 -3.319	0.04 	 -0.732	0.038	0	   444560.0 	    151.24   	11.5685	0.0004	   286740.0  	     707.54    	11.7077	0.0027	    244150.0 	    164.3     	11.2928	0.0007	 0.4149	   --- 	 --- 	8005.73	1.0853	0.532 	  --- 	    ---  	  0.7  	FSR_0498
-0.2388	-0.0127	 0.2442	 1419.941	  173.653	  309.592	1.268	18	 ---	  7.55567873298	0.0451	 62.28678509306	0.0409	 430359713096278912	  0.3355 	0.0563	 -3.597	0.092	 -0.848	0.078	0	     3769.6 	      2.6548 	16.7476	0.0008	     1748.9  	      10.071   	17.2445	0.0063	      3031.9 	      9.7931  	16.0576	0.0035	 1.1868	   --- 	 --- 	4879.0 	---   	---   	  --- 	    ---  	  0.1  	FSR_0498
-0.2195	-0.0345	 0.2341	 1435.311	  178.809	  392.949	1.266	18	 ---	  7.40381349804	0.0415	 62.25873769283	0.0389	 430362324436401024	  0.314  	0.0534	 -3.403	0.082	 -0.888	0.068	0	     3939.2 	      2.7445 	16.6998	0.0008	     1751.5  	       9.7956  	17.2428	0.0061	      3236.3 	      8.2359  	15.9868	0.0028	 1.256 	   --- 	 --- 	4859.17	---   	---   	  --- 	    ---  	  0.2  	FSR_0498
