pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0363	 0.296 	-0.0436	  452.865	    9.484	   36.089	2.156	15	 ---	129.75650836482	0.086 	-47.07531190579	0.1108	5521563329589138432	  2.0051 	0.1144	 -6.664	0.187	  6.419	0.192	1	     1331.9 	      2.941  	17.8772	0.0024	      357.99 	      37.748   	18.9667	0.1145	      2513.4 	     69.645   	16.2613	0.0301	 2.7054	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Gulliver_9
 0.0483	 0.2288	-0.0405	 2382.821	  661.975	  970.434	1.22 	15	 ---	128.90064576297	0.0149	-46.88384178592	0.0169	5521535296343817728	  1.8278 	0.0188	 -5.65 	0.032	  7.648	0.032	0	   109940.0 	     46.139  	13.0855	0.0005	    57971.0  	      87.572   	13.4434	0.0016	     76179.0 	     78.5     	12.5573	0.0011	 0.886 	   --- 	 --- 	5632.97	0.4045	0.1747	  1.2 	    1.313	  0.1  	Gulliver_9
-0.2591	-0.0152	 0.1598	  134.013	   46.689	  142.967	1.64 	12	 ---	128.52439423494	0.3713	-47.02611727264	0.4651	5521538045117616128	  2.1038 	0.5018	 -6.898	0.936	  6.831	0.874	0	     1865.5 	     13.92   	17.5114	0.0081	      835.58 	      17.897   	18.0464	0.0233	      2223.0 	     15.549   	16.3946	0.0076	 1.6518	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Gulliver_9
-0.18  	 0.1164	 0.0652	  550.389	   34.028	  192.165	1.523	15	 ---	128.55764345145	0.0891	-47.00519011329	0.1008	5521538178250234368	  1.8044 	0.1063	 -6.288	0.187	  6.335	0.195	0	     1753.7 	      3.1863 	17.5785	0.002 	      318.75 	       9.3674  	19.0927	0.0319	      2352.4 	     12.242   	16.3331	0.0057	 2.7596	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Gulliver_9
 0.0338	 0.0622	 0.0365	  598.218	   12.237	   92.178	1.652	13	 ---	130.0730277091 	0.1029	-46.63977997139	0.1187	5521602396600921088	  2.0567 	0.1219	 -5.492	0.215	  6.892	0.246	0	     1208.1 	      2.0195 	17.9831	0.0018	      404.28 	      33.039   	18.8347	0.0887	      1591.8 	     17.268   	16.7572	0.0118	 2.0775	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Gulliver_9
 0.1653	-0.1662	-0.1552	 1563.012	  224.566	  287.232	1.265	16	 ---	129.79255577048	0.027 	-46.90421249613	0.0299	5521566907298382464	  1.7405 	0.0334	 -5.864	0.065	  6.895	0.063	0	    12663.0 	      8.1019 	15.432 	0.0007	     5358.8  	      23.863   	16.0287	0.0048	     10656.0 	     37.098   	14.693 	0.0038	 1.3358	   --- 	 --- 	4710.8 	0.118 	0.065 	  0.67	    0.197	  0.3  	Gulliver_9
 0.0145	 0.1985	-0.0622	 3126.992	  575.042	  883.919	1.19 	16	 0.0	123.94217487409	0.0572	-47.89474958906	0.061 	5516209880481978624	  1.9744 	0.0649	 -5.983	0.123	  6.972	0.117	0	   292430.0 	     93.519  	12.0233	0.0003	   176020.0  	     306.11    	12.2375	0.0019	    171940.0 	    194.52    	11.6735	0.0012	 0.564 	  44.82	 9.54	6834.0 	0.124 	0.062 	  1.22	    2.905	  1.0  	Gulliver_9
-0.1186	 0.0929	 0.0558	  570.847	   36.143	  191.44 	1.502	15	 ---	124.51157334879	0.0843	-47.21614295407	0.0902	5516269799564706176	  2.0087 	0.0974	 -5.836	0.18 	  7.336	0.182	0	     1884.3 	      3.3009 	17.5005	0.0019	      323.27 	       8.9444  	19.0775	0.03  	      2507.7 	     13.099   	16.2637	0.0057	 2.8137	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Gulliver_9
 0.0372	-0.0047	 0.0805	  857.993	   34.487	  153.223	1.53 	14	 ---	124.3967317202 	0.0856	-47.41002336288	0.0914	5516254578199513728	  2.1791 	0.1008	 -6.102	0.179	  7.152	0.192	0	     1618.5 	      1.8863 	17.6656	0.0013	      298.26 	       8.6485  	19.1649	0.0315	      2177.8 	     14.214   	16.4169	0.0071	 2.748 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Gulliver_9
