pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1151	 0.0285	-0.1322	  432.135	   53.0  	  154.174	1.37 	16	 ---	115.04092124044	0.0306	-31.00702118873	0.0381	5598420296174862336	  1.9514 	0.0475	 -6.756	0.069	  6.042	0.078	0	     6757.9 	     15.638  	16.1138	0.0025	     2092.6  	      39.483   	17.0497	0.0205	      7165.0 	     46.473   	15.1239	0.007 	 1.9258	   --- 	 --- 	3857.0 	---   	---   	  0.8 	    0.129	  0.3  	Haffner_13
 0.0213	 0.1608	 0.0219	 3196.842	  754.02 	 1123.876	1.185	16	 0.0	115.27302411016	0.0171	-30.98723957614	0.021 	5598424041386147456	  1.7924 	0.0262	 -5.907	0.037	  6.206	0.044	0	   365230.0 	    114.25   	11.7819	0.0003	   227980.0  	     302.35    	11.9567	0.0014	    204770.0 	    182.2     	11.4837	0.001 	 0.4729	  37.25	 4.17	7443.5 	0.1085	0.0715	  1.27	    4.474	  0.8  	Haffner_13
 0.0629	 0.1917	-0.196 	  879.855	  124.811	  347.148	1.403	17	 ---	115.74183920803	0.0301	-30.6343100173 	0.0377	5598447062411836672	  1.6122 	0.0458	 -6.599	0.071	  6.086	0.071	0	     6082.9 	      6.9136 	16.2281	0.0012	     1525.5  	      12.223   	17.3928	0.0087	      7011.4 	     20.197   	15.1474	0.0031	 2.2454	   --- 	 --- 	3840.0 	---   	---   	  0.94	    0.172	  0.6  	Haffner_13
 0.1114	 0.0418	-0.1049	  579.119	  188.697	  239.8  	1.235	16	 ---	115.56915298126	0.0137	-30.6688288949 	0.0193	5598453247164884992	  1.7478 	0.0211	 -5.846	0.031	  6.158	0.037	0	    33276.0 	     57.46   	14.383 	0.0019	    15698.0  	      83.191   	14.8618	0.0058	     25414.0 	    105.98    	13.7492	0.0045	 1.1126	   --- 	 --- 	4989.0 	0.334 	0.164 	  0.92	    0.476	  0.9  	Haffner_13
 0.0622	 0.146 	-0.0106	  736.432	   42.761	  161.293	1.415	17	 ---	115.47927329235	0.0494	-30.81711157388	0.0616	5598449639392482432	  1.8228 	0.071 	 -5.762	0.113	  6.146	0.121	0	     2707.0 	      3.6758 	17.1072	0.0015	      675.7  	      15.802   	18.277 	0.0254	      3154.5 	     19.558   	16.0146	0.0067	 2.2624	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Haffner_13
 0.1173	 0.038 	-0.0737	  192.601	  148.011	  365.696	1.553	17	 ---	115.53282736742	0.3233	-30.66634971195	0.3713	5598453144085697408	  1.6057 	0.4587	 -5.701	0.699	  6.482	0.72 	0	     5293.3 	     27.484  	16.379 	0.0056	     3132.1  	      21.161   	16.6118	0.0073	      5088.7 	     13.915   	15.4954	0.003 	 1.1164	   --- 	 --- 	5095.63	---   	---   	  --- 	    ---  	  0.3  	Haffner_13
 0.1241	 0.1827	-0.0393	  709.179	   71.373	  282.26 	1.405	15	 ---	115.01526078381	0.0496	-30.98130103913	0.0697	5598467506457401856	  1.8507 	0.0814	 -6.221	0.108	  5.936	0.13 	0	     2593.7 	      3.6573 	17.1536	0.0015	      582.34 	       8.1591  	18.4384	0.0152	      3061.5 	     10.847   	16.0471	0.0038	 2.3914	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Haffner_13
 0.1111	 0.2234	-0.0827	  759.312	   33.649	  156.333	1.481	16	 ---	115.55725539808	0.0673	-30.7037569549 	0.0956	5598452761822004608	  1.6521 	0.1014	 -6.191	0.155	  6.067	0.169	0	     1681.6 	      2.2146 	17.6241	0.0014	      354.14 	      10.525   	18.9784	0.0323	      2135.7 	     13.661   	16.4381	0.0069	 2.5404	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Haffner_13
 0.0389	 0.2459	-0.1955	 1203.287	  123.625	  463.229	1.366	16	 ---	115.58266931517	0.0405	-30.70253627319	0.0488	5598452040267501824	  1.8128 	0.0598	 -6.089	0.089	  6.321	0.088	1	     4544.4 	      3.7767 	16.5447	0.0009	     1295.0  	      10.476   	17.5707	0.0088	      4914.3 	     10.609   	15.5333	0.0023	 2.0374	   --- 	 --- 	3721.33	---   	---   	  0.8 	    0.11 	  0.6  	Haffner_13
