pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0947	-0.3233	 0.0899	 1920.006	  187.117	  468.568	1.27 	14	 ---	222.84387454551	0.0341	-52.394292836  	0.0352	5900864952505644288	  0.5698 	0.0536	 -1.556	0.095	 -2.315	0.085	0	     6247.3 	      3.2538 	16.1991	0.0006	     2633.1  	      14.072   	16.8002	0.0058	      5303.2 	     11.318   	15.4506	0.0023	 1.3496	   --- 	 --- 	4773.29	1.302 	0.6155	  1.38	    0.888	  1.0  	Hogg_18
-0.1667	-0.28  	 0.009 	  584.655	  100.387	  178.375	1.295	14	 ---	222.78854271376	0.0597	-52.33170898334	0.0617	5900912300227803392	  0.6239 	0.0939	 -2.063	0.172	 -2.027	0.163	0	     2396.1 	      4.0983 	17.2396	0.0019	      851.46 	       8.4817  	18.026 	0.0108	      2251.6 	     12.623   	16.3807	0.0061	 1.6453	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Hogg_18
-0.096 	-0.2559	 0.1749	 1016.759	  126.47 	  205.03 	1.272	14	 ---	222.63286643036	0.0618	-52.18367479331	0.064 	5900918175743148288	  0.5184 	0.0942	 -1.307	0.174	 -2.393	0.154	0	     2114.6 	      2.0798 	17.3753	0.0011	      848.01 	       6.7052  	18.0304	0.0086	      1841.4 	      8.9811  	16.5991	0.0053	 1.4313	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Hogg_18
-0.2023	-0.3206	 0.1459	 1616.283	  321.663	  536.457	1.27 	14	 ---	222.60437993063	0.0327	-52.16859423797	0.0337	5900929548817115776	  0.5378 	0.0493	 -2.524	0.09 	 -3.018	0.079	0	     6507.7 	      4.0263 	16.1548	0.0007	     2960.9  	       9.205   	16.6728	0.0034	      5302.2 	      9.8838  	15.4508	0.002 	 1.2221	   --- 	 --- 	4903.98	---   	---   	  1.39	    1.003	  0.3  	Hogg_18
-0.1351	-0.2161	 0.0515	 5359.708	  576.483	 1060.169	1.201	14	 ---	222.74236453058	0.0225	-52.26081494438	0.0235	5900913812056325120	  0.6117 	0.0331	 -1.894	0.058	 -2.304	0.058	0	   262200.0 	     48.92   	12.1418	0.0002	   161260.0  	     279.73    	12.3326	0.0019	    153630.0 	    144.91    	11.7958	0.001 	 0.5368	   --- 	 --- 	7087.67	---   	---   	  3.46	   27.254	  1.0  	Hogg_18
-0.1005	-0.2186	 0.1788	 1692.338	  180.331	  383.662	1.279	14	 ---	222.69737939182	0.0347	-52.26876360404	0.0345	5900916423396441472	  0.5415 	0.0494	 -1.808	0.092	 -2.258	0.083	0	     6593.0 	      3.8958 	16.1407	0.0006	     2834.2  	      15.716   	16.7203	0.006 	      5599.1 	     14.594   	15.3916	0.0028	 1.3287	   --- 	 --- 	4768.5 	1.5108	0.733 	  1.49	    1.04 	  1.0  	Hogg_18
-0.0572	-0.2701	 0.1248	 1065.18 	   51.847	  147.154	1.341	14	 ---	222.71529544697	0.0741	-52.27182289512	0.0784	5900916354676962176	  0.4937 	0.1156	 -2.223	0.211	 -1.746	0.193	0	     1636.4 	      1.5363 	17.6536	0.001 	      696.56 	      13.435   	18.244 	0.0209	      1497.3 	     10.175   	16.8236	0.0074	 1.4204	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Hogg_18
-0.1317	-0.2105	 0.0566	 4844.18 	  680.283	  730.722	1.207	14	 ---	222.72873031217	0.0164	-52.26764437299	0.0169	5900916732634084864	  0.5792 	0.0236	 -1.976	0.042	 -2.567	0.042	0	    45738.0 	      9.4418 	14.0377	0.0002	    25830.0  	      37.969   	14.3211	0.0016	     29360.0 	     40.179   	13.5925	0.0015	 0.7286	   --- 	 --- 	6290.0 	---   	---   	  1.94	    5.285	  1.0  	Hogg_18
-0.0749	-0.2919	 0.2186	  718.243	   44.85 	  121.646	1.325	14	 ---	222.73274664901	0.0868	-52.19753623265	0.091 	5900917174992504960	  0.5963 	0.1395	 -1.556	0.257	 -1.578	0.226	0	     1202.4 	      1.674  	17.9883	0.0015	      471.06 	      10.503   	18.6687	0.0242	      1121.6 	      9.2202  	17.1373	0.0089	 1.5314	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Hogg_18
