pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.6237	-0.1066	 0.3283	 3849.694000000	   473.155000000	 1148.974000000	1.372	11	251.73761090555	0.0274	-47.13073049662	0.0293	5939653553774605440	  0.3411 	0.0307	 -1.720	0.057	 -3.174	0.054	0	    81421.00000	     21.15000	13.411500	0.000300	    26270.00000	     55.52200 	14.302700	0.002300	    85467.00000	     74.38500	12.432400	0.000900	 1.8703	       	     	3984.6 	1.5715	0.7673	 14.31	   46.513	0.00
-0.5512	-0.0328	 0.2823	 1177.243000000	    85.150000000	  205.251000000	1.364	11	251.73981270569	0.1012	-47.13038013853	0.0996	5939653553760315520	  1.0128 	0.1091	 -4.315	0.206	  0.912	0.184	0	     2946.89990	      2.50320	17.014900	0.000900	     1155.80005	     13.57300 	17.694200	0.012800	     2862.80005	     13.94800	16.119900	0.005300	 1.5743	       	     	4370.0 	0.8340	0.4030	  0.68	    0.154	0.00
-0.2494	-0.1315	 0.4582	 1105.558000000	    26.424000000	  199.696000000	1.729	12	251.74451544024	0.0993	-47.11318786289	0.0996	5939653592447383424	  0.0307 	0.1354	 -1.600	0.193	 -4.056	0.175	0	     4490.39990	      4.06170	16.557700	0.001000	      317.16000	     12.00300 	19.098200	0.041100	     7445.89990	     37.28600	15.082100	0.005400	 4.0160	       	     	3291.0 	0.7635	0.5407	      	         	0.00
-0.3466	-0.1274	 0.4407	 1663.167000000	   150.789000000	  270.615000000	1.292	12	251.75689250714	0.0553	-47.10316979845	0.0551	5939654004764250112	  0.4235 	0.0737	 -1.462	0.105	 -2.786	0.098	0	     5737.00000	      3.44940	16.291700	0.000700	     2340.50000	     15.52200 	16.928100	0.007200	     5074.00000	     18.75000	15.498600	0.004000	 1.4296	       	     	4412.8 	      	      	      	         	0.00
-0.3518	-0.1265	 0.4073	 3053.104000000	   312.665000000	  692.351000000	1.405	12	251.76006302113	0.0353	-47.10172747167	0.0349	5939654004764249088	  0.2857 	0.0433	 -0.476	0.066	 -2.052	0.061	0	    36737.00000	     12.03300	14.275600	0.000400	     8778.70020	     28.07700 	15.492800	0.003500	    42822.00000	     61.84900	13.182800	0.001600	 2.3100	       	     	3682.3 	1.8900	0.9395	      	         	0.36
-0.4020	-0.1397	 0.4288	 2364.132000000	   358.324000000	  555.017000000	1.243	12	251.75471454612	0.0355	-47.10454970294	0.0361	5939653970404510976	  0.4469 	0.0464	 -2.947	0.068	 -4.226	0.065	0	    16564.00000	      7.00650	15.140400	0.000500	     8149.89990	     22.74400 	15.573500	0.003000	    12443.00000	     22.41900	14.524600	0.002000	 1.0489	       	     	5175.5 	      	      	  2.33	    3.498	0.00
-0.3381	-0.1300	 0.4416	 1598.140000000	   184.681000000	  459.556000000	1.335	12	251.74672125434	0.0547	-47.10935647217	0.0551	5939653970404509824	  0.4818 	0.0732	 -1.361	0.104	 -5.765	0.097	0	     5742.79980	      3.59340	16.290500	0.000700	     2020.30005	     10.94000 	17.087800	0.005900	     5649.20020	     12.29300	15.382000	0.002400	 1.7059	       	     	4068.0 	      	      	      	         	0.00
-0.0290	-0.1628	 0.5032	  539.696000000	    29.202000000	   64.883000000	1.559	11	251.75817375520	0.2262	-47.09942102308	0.1867	5939654000426230400	  0.1343 	0.2800	 -1.997	0.359	 -2.974	0.320	0	      809.84003	      1.50060	18.417400	0.002000	      247.24001	      8.46660 	19.368600	0.037200	     1015.50000	     15.65000	17.245300	0.016700	 2.1233	       	     	       	      	      	      	         	0.00
-0.1953	-0.1200	 0.4490	 1340.357000000	    64.729000000	  156.457000000	1.312	12	251.75400304370	0.0713	-47.09452904354	0.0666	5939654000426236160	  0.3734 	0.0962	 -0.765	0.135	 -4.672	0.120	0	     3794.50000	      2.83090	16.740500	0.000800	     1452.09998	     22.43300 	17.446400	0.016800	     3525.19995	     22.53100	15.894000	0.006900	 1.5525	       	     	4328.0 	      	      	      	         	0.00
-0.1822	-0.1920	 0.4781	 1007.109000000	    35.639000000	  221.716000000	1.869	11	251.76010623521	0.1261	-47.09574813750	0.1203	5939654004764259840	 -0.3050 	0.1759	 -3.825	0.234	 -0.793	0.204	0	     5630.60010	      5.59090	16.312000	0.001100	      310.14001	      8.70240 	19.122500	0.030500	    10216.00000	     46.07600	14.738700	0.004900	 4.3837	       	     	3350.0 	      	      	      	         	0.00
