pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1984	 0.1992	-0.0499	 1365.209	  126.297	  450.484	1.37 	17	 ---	174.83226180165	0.0395	-63.65047572413	0.0402	5333566499313215232	  0.3561 	0.0474	 -5.824	0.077	  1.562	0.072	0	     6107.1 	      4.4734 	16.2238	0.0008	     2489.8  	      19.714   	16.861 	0.0086	      5874.0 	     13.039   	15.3396	0.0024	 1.5214	   --- 	 --- 	4394.15	---   	---   	  2.76	    2.554	  0.2  	IC_2948
 0.1599	 0.2188	-0.0336	 1251.073	   69.486	   90.751	1.593	18	 ---	174.83359800455	0.0557	-63.67557642718	0.0575	5333566361855972992	  0.2975 	0.0671	 -5.51 	0.109	  1.539	0.107	0	     2503.7 	      2.0012 	17.1919	0.0009	     1194.8  	      17.194   	17.6582	0.0156	      2793.3 	     30.78    	16.1466	0.012 	 1.5116	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	IC_2948
 0.1308	 0.2896	-0.0088	  771.884	   53.711	  134.89 	1.786	18	 ---	174.95976940041	0.099 	-63.54783947911	0.0932	5333573268164903424	  0.4708 	0.12  	 -5.809	0.192	  0.796	0.177	0	     1324.3 	      1.7156 	17.8834	0.0014	      805.17 	      14.991   	18.0867	0.0202	      1559.8 	     11.564   	16.7792	0.008 	 1.3074	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	IC_2948
 0.1262	 0.1862	 0.0415	 4272.81 	  830.538	  853.93 	1.216	18	 ---	174.63913092529	0.0164	-63.46583481593	0.0169	5333577631868081408	  0.418  	0.0197	 -5.925	0.03 	  0.381	0.028	0	    53078.0 	     12.422  	13.8761	0.0003	    34366.0  	      41.378   	14.0111	0.0013	     30194.0 	     35.359   	13.5621	0.0013	 0.449 	   --- 	 --- 	7380.0 	0.997 	0.5257	  2.11	   11.921	  0.4  	IC_2948
 0.1568	 0.2838	-0.0363	 1539.852	  232.052	  499.654	1.361	17	 ---	174.74088953361	0.0308	-63.63565452356	0.0342	5333567289587186816	  0.4009 	0.0399	 -6.157	0.06 	  0.558	0.063	0	     7152.9 	      4.6452 	16.0522	0.0007	     3293.5  	      14.193   	16.5573	0.0047	      6440.7 	     12.89    	15.2396	0.0022	 1.3177	   --- 	 --- 	4725.02	---   	---   	  2.15	    2.084	  0.5  	IC_2948
-0.0419	 0.1018	 0.0816	  505.411	   39.721	  147.111	1.928	17	 ---	174.98018435694	0.1076	-63.50615724677	0.0948	5333574913132311552	  0.4336 	0.1225	 -6.3  	0.206	  1.159	0.183	0	     1259.3 	      2.4917 	17.938 	0.0021	      795.06 	      20.016   	18.1004	0.0273	      1632.6 	     11.098   	16.7297	0.0074	 1.3707	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	IC_2948
-0.0323	 0.0883	 0.046 	  245.903	   47.118	   85.3  	2.05 	17	 ---	174.68352965168	0.1106	-63.48040842506	0.1086	5333574603894696576	  0.3754 	0.1387	 -6.0  	0.224	  0.248	0.186	0	     1273.5 	      5.1788 	17.9259	0.0044	      635.46 	      13.487   	18.3437	0.023 	      1975.1 	     23.155   	16.5229	0.0127	 1.8207	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	IC_2948
 0.1298	 0.2091	-0.0302	  422.122	   46.524	  155.701	2.149	16	 ---	174.73374424315	0.1014	-63.56445339302	0.1169	5333568079861275904	  0.4506 	0.1319	 -6.398	0.194	  1.164	0.187	0	     2348.6 	      5.5638 	17.2614	0.0026	     1257.5  	      27.029   	17.6026	0.0233	      3789.5 	     24.338   	15.8155	0.007 	 1.7871	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	IC_2948
 0.0894	 0.0938	-0.0686	   97.23 	   34.5  	   42.113	1.939	16	 ---	174.75002010265	0.0862	-63.45616508996	0.0956	5333576150082964096	  0.4447 	0.1167	 -6.136	0.172	  0.097	0.163	0	     1367.9 	     14.069  	17.8482	0.0112	      796.71 	      23.093   	18.0981	0.0315	      1855.7 	     44.065   	16.5906	0.0258	 1.5075	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	IC_2948
