pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.2986	 0.1068	 0.1795	  423.584	   39.107	  116.263	1.964	10	 ---	105.13140098067	0.1366	 -8.86267461574	0.1493	3050020967411976192	  0.1768 	0.174 	 -0.871	0.33 	  1.385	0.319	0	     1215.2 	      2.869  	17.9767	0.0026	      746.98 	      19.101   	18.1681	0.0278	      1639.3 	     14.1     	16.7252	0.0093	 1.4429	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Ivanov_4
-0.1258	 0.2827	-0.0413	 1143.551	  188.76 	  199.444	1.27 	11	 ---	105.02406801744	0.0637	 -8.89272895815	0.0697	3050023333939309056	  0.2642 	0.0775	 -1.011	0.144	  1.114	0.129	0	     3483.7 	      3.0464 	16.8333	0.0009	     1543.7  	       8.1779  	17.38  	0.0058	      2879.2 	     14.436   	16.1137	0.0054	 1.2663	   --- 	 --- 	4864.43	---   	---   	  --- 	    ---  	  0.4  	Ivanov_4
 0.019 	 0.2829	 0.0871	  896.586	  150.459	  306.943	1.237	12	 ---	105.23282286034	0.0406	 -8.81455573781	0.0461	3050022096989002368	  0.4682 	0.0551	 -1.76 	0.086	  1.156	0.082	0	     8757.6 	      9.7677 	15.8324	0.0012	     4551.3  	      30.249   	16.2061	0.0072	      6278.8 	     20.456   	15.2672	0.0035	 0.9388	   --- 	 --- 	5381.0 	0.597 	0.291 	  1.47	    1.635	  0.4  	Ivanov_4
-0.0954	 0.1672	 0.0874	  616.351	   54.807	  107.29 	1.265	12	 ---	105.2543819067 	0.0985	 -8.91487001035	0.0996	3050009177727023744	  0.3349 	0.117 	 -1.174	0.219	  0.624	0.195	0	     1588.2 	      2.5768 	17.6861	0.0018	      664.55 	      12.125   	18.2951	0.0198	      1344.4 	     12.53    	16.9406	0.0101	 1.3545	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Ivanov_4
-0.0139	 0.2017	 0.1195	  499.533	   41.162	  166.568	1.59 	12	 ---	105.15324901774	0.1193	 -8.84868284817	0.128 	3050022268790064896	  0.1779 	0.149 	 -1.135	0.273	  0.869	0.243	0	     1569.9 	      3.1427 	17.6987	0.0022	      626.04 	      15.209   	18.3599	0.0264	      1870.3 	     11.229   	16.5821	0.0065	 1.7777	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Ivanov_4
-0.0309	 0.1716	 0.0203	 1032.119	  240.54 	  387.035	1.223	12	 ---	105.19381460451	0.0349	 -8.78115305744	0.0424	3050023200800358784	  0.4061 	0.0479	 -0.923	0.075	  0.552	0.075	0	    10369.0 	     10.047  	15.649 	0.0011	     5427.8  	      22.565   	16.0148	0.0045	      7252.7 	     18.739   	15.1107	0.0028	 0.9042	   --- 	 --- 	5526.51	---   	---   	  1.74	    2.533	  0.4  	Ivanov_4
-0.0084	 0.3079	 0.1502	  902.15 	   70.874	  283.525	1.348	12	 ---	105.20731749847	0.0926	 -8.78569044124	0.1059	3050023132080878848	  0.1912 	0.1284	 -1.239	0.196	  1.081	0.189	0	     1935.3 	      2.1452 	17.4715	0.0012	      642.78 	       9.0693  	18.3312	0.0153	      1966.7 	      6.9368  	16.5275	0.0038	 1.8037	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Ivanov_4
-0.0521	 0.3044	 0.1995	  244.009	   43.722	  176.3  	1.902	11	 ---	105.14086601895	0.1476	 -8.85727687292	0.1731	3050022234430321792	  0.2674 	0.2041	 -1.201	0.333	  0.588	0.291	0	     1359.6 	      5.5719 	17.8548	0.0044	      949.13 	      21.708   	17.9081	0.0248	      1636.6 	      9.2831  	16.7271	0.0062	 1.181 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Ivanov_4
-0.0145	 0.2275	-0.0127	  124.286	   44.295	   47.919	1.726	11	 ---	105.14253589041	0.1539	 -8.85214606803	0.1546	3050022440588752768	  0.5248 	0.1749	 -0.85 	0.324	  0.865	0.28 	0	     1251.4 	     10.069  	17.9449	0.0087	      659.3  	      14.884   	18.3037	0.0245	      1500.3 	     31.31    	16.8215	0.0227	 1.4822	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Ivanov_4
