pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1402	 0.1476	-0.0363	 1224.744	  124.409	  245.786	1.264	13	 ---	 62.53565169032	0.1065	 46.95430726039	0.0436	 246020953697486976	  0.1443 	0.1221	  1.281	0.224	 -1.635	0.153	0	     2003.6 	      1.6359 	17.4339	0.0009	      884.52 	       7.1098  	17.9846	0.0087	      1647.9 	      6.7047  	16.7196	0.0044	 1.265 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Juchert_20
-0.2308	 0.1571	-0.0288	 2293.396	  386.031	  597.758	1.267	13	 ---	 62.56640037594	0.0559	 46.99710732093	0.0232	 246021194215646720	  0.3378 	0.0642	  1.003	0.112	 -1.64 	0.081	0	     7996.3 	      3.4867 	15.9311	0.0005	     3421.2  	       8.8626  	16.5159	0.0028	      6710.7 	     11.227   	15.195 	0.0018	 1.3209	   --- 	 --- 	4881.23	---   	---   	  --- 	    ---  	  0.9  	Juchert_20
-0.0982	 0.0743	-0.1522	 3752.135	  711.939	  942.418	1.235	12	 ---	 62.52060837147	0.0352	 46.9168721798 	0.0151	 246020300862551296	  0.2957 	0.0447	  1.127	0.076	 -1.701	0.054	1	    19328.0 	      5.1511 	14.9729	0.0003	     9799.5  	      13.765   	15.3734	0.0015	     14068.0 	     14.927   	14.3914	0.0012	 0.982 	   --- 	 --- 	5200.62	---   	---   	  --- 	    ---  	  0.9  	Juchert_20
-0.0794	 0.0915	-0.095 	 5024.609	  737.947	 1231.323	1.342	13	 ---	 62.61644301528	0.0293	 47.01140014071	0.0133	 246044627557666560	  0.3288 	0.0332	  0.939	0.058	 -1.719	0.044	0	    46643.0 	      9.2828 	14.0164	0.0002	    14094.0  	      19.099   	14.9788	0.0015	     48487.0 	     39.378   	13.0479	0.0009	 1.9309	   --- 	 --- 	3829.0 	1.3305	0.6465	 12.83	   31.868	  0.9  	Juchert_20
-0.1714	 0.236 	 0.0282	  919.202	   72.907	  186.814	1.302	13	 ---	 62.68608410899	0.1325	 47.03014694289	0.0628	 246044868075829248	  0.2377 	0.1507	  1.482	0.249	 -1.307	0.171	0	     1676.3 	      1.8237 	17.6275	0.0012	      637.8  	       8.7482  	18.3397	0.0149	      1544.2 	      8.266   	16.7902	0.0058	 1.5495	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Juchert_20
-0.276 	 0.0622	 0.1115	 1107.563	   76.31 	  117.662	1.397	12	 ---	 62.61069763672	0.1282	 46.97437386598	0.0495	 246044318320022784	  0.365  	0.138 	  1.693	0.282	 -2.296	0.167	0	     1821.7 	      1.6448 	17.5372	0.001 	      686.33 	       8.9939  	18.2601	0.0142	      1859.2 	     15.801   	16.5886	0.0092	 1.6715	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Juchert_20
-0.1408	 0.1538	-0.0389	 1471.434	  175.781	  263.785	1.271	13	 ---	 62.49813317072	0.0858	 46.92593404737	0.0357	 246020541380634240	  0.4777 	0.1019	  1.1  	0.185	 -1.413	0.127	0	     2691.6 	      1.8293 	17.1133	0.0007	     1079.7  	       6.1422  	17.7682	0.0062	      2340.5 	      8.8726  	16.3387	0.0041	 1.4295	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Juchert_20
-0.1525	 0.3976	-0.2276	  656.449	   53.775	  176.034	1.303	 8	 ---	 62.62551616156	0.2883	 46.97969619579	0.0947	 246044352674582528	  0.1906 	0.3792	  1.058	0.291	 -1.578	0.202	1	     1672.2 	      2.5474 	17.6301	0.0017	      649.11 	      12.071   	18.3206	0.0202	      1529.2 	      8.6867  	16.8008	0.0062	 1.5198	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Juchert_20
-0.0453	 0.1964	 0.0479	 1042.288	   71.199	  212.151	1.342	13	 ---	 62.69331111237	0.1206	 47.0316318177 	0.0591	 246044898133129344	  0.2988 	0.1382	  0.509	0.206	 -1.585	0.156	0	     1810.9 	      1.7374 	17.5436	0.001 	      657.26 	       9.2312  	18.3071	0.0152	      1773.2 	      8.358   	16.6401	0.0051	 1.667 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Juchert_20
