pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.2404	-0.1536	 0.0087	  866.449	   30.532	  390.098	1.704	13	 ---	292.15008594328	0.0961	 14.77783021289	0.0984	4319726068791881344	  0.2745 	0.1256	 -1.898	0.211	 -5.718	0.193	0	     1958.6 	      2.2605 	17.4585	0.0013	      165.06 	       5.4061  	19.8073	0.0356	      3171.7 	      8.1304  	16.0087	0.0028	 3.7986	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	King_26
 0.2671	-0.1595	 0.0005	  866.172	   63.531	  279.748	1.409	13	 ---	292.14776520528	0.0819	 14.77964540626	0.0841	4319726064474684928	  0.3599 	0.1064	 -1.843	0.179	 -4.976	0.165	0	     1686.6 	      1.9471 	17.6209	0.0013	      428.79 	       6.7493  	18.7708	0.0171	      1947.6 	      6.962   	16.5382	0.0039	 2.2326	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	King_26
 0.3502	-0.325 	-0.0829	  948.04 	   59.515	  109.23 	1.406	14	 ---	292.28696155274	0.0779	 14.84250370403	0.0806	4321229169903382272	  0.358  	0.1008	 -2.273	0.167	 -5.133	0.153	0	     1775.8 	      1.8731 	17.5649	0.0011	      582.16 	       9.7816  	18.4388	0.0182	      1914.8 	     17.53    	16.5566	0.0099	 1.8822	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	King_26
 0.3297	-0.2453	-0.1377	 1691.305	  211.088	  503.345	1.291	14	 ---	292.25057308999	0.0412	 14.81937019404	0.0405	4321227692434633344	  0.4393 	0.0539	 -2.136	0.089	 -5.013	0.079	0	     5910.5 	      3.4946 	16.2593	0.0006	     2312.8  	      10.957   	16.941 	0.0051	      5317.6 	     10.564   	15.4476	0.0022	 1.4934	   --- 	 --- 	4477.0 	---   	---   	  2.08	    1.567	  1.0  	King_26
 0.1447	-0.2629	-0.1978	  687.462	    ---  	    ---  	---  	14	 ---	292.33543675551	0.0717	 14.92420784004	0.0721	4321230131958529408	  0.3663 	0.0939	 -1.748	0.151	 -5.664	0.137	1	     1894.0 	      2.7551 	17.4949	0.0016	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	King_26
 0.2458	-0.286 	-0.0612	 1530.467	  207.217	  536.278	1.312	14	 ---	292.22750949385	0.04  	 14.79609345864	0.0427	4321227486276193152	  0.3983 	0.0563	 -2.325	0.084	 -4.977	0.078	0	     5562.3 	      3.6344 	16.3252	0.0007	     2047.0  	       9.8786  	17.0736	0.0052	      5250.2 	      9.7901  	15.4615	0.002 	 1.6121	   --- 	 --- 	4283.75	---   	---   	  --- 	    ---  	  1.0  	King_26
 0.1547	-0.2154	-0.0927	 1038.751	   22.138	   44.988	1.926	14	 ---	292.28097264773	0.0793	 14.83377207021	0.0834	4321229135543638016	  0.3121 	0.1047	 -2.712	0.169	 -4.154	0.158	0	     2148.5 	      2.0683 	17.358 	0.001 	      454.79 	      20.543   	18.7069	0.049 	      3684.2 	     81.892   	15.8461	0.0241	 2.8608	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	King_26
 0.3086	-0.3129	-0.0675	 1053.386	  110.206	  236.576	1.349	14	 ---	292.32048213532	0.0708	 14.86042203147	0.0738	4321229307342331008	  0.5869 	0.0965	 -2.509	0.152	 -4.912	0.141	0	     1748.9 	      1.6603 	17.5815	0.001 	      534.51 	       4.8501  	18.5315	0.0099	      1825.2 	      7.715   	16.6087	0.0046	 1.9228	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	King_26
 0.1937	-0.2056	-0.0001	 1354.89 	  200.024	  555.471	1.352	13	 ---	292.19260635058	0.0373	 14.7754801108 	0.0386	4321227039599596672	  0.5477 	0.0507	 -2.005	0.079	 -5.049	0.073	0	     6037.6 	      4.4562 	16.2362	0.0008	     1891.8  	       9.4577  	17.1592	0.0054	      6271.7 	     11.291   	15.2685	0.002 	 1.8908	   --- 	 --- 	4033.3 	1.9403	0.9425	  2.34	    1.3  	  0.5  	King_26
