pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1007	-0.1225	-0.0547	 1928.375	  147.975	  496.571	1.549	17	 ---	300.63010460191	0.0453	 31.38928004219	0.0525	2030891851640516992	  0.1447 	0.0667	 -2.847	0.105	 -4.769	0.109	0	     6103.1 	      3.1649 	16.2245	0.0006	      983.92 	       6.6492  	17.869 	0.0073	      8470.6 	     17.058   	14.9421	0.0022	 2.9269	   --- 	 --- 	4651.68	2.7277	1.3685	  --- 	    ---  	  0.1  	Kronberger_69
-0.0821	-0.1139	-0.0223	 1328.332	   80.293	  231.478	1.397	17	 ---	300.63341889296	0.0582	 31.40063805222	0.0708	2030891851640518912	  0.3532 	0.0867	 -3.246	0.138	 -5.989	0.147	0	     1998.3 	      1.5043 	17.4367	0.0008	      526.53 	       6.5575  	18.5478	0.0135	      2265.2 	      9.7859  	16.3741	0.0047	 2.1737	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Kronberger_69
-0.0642	-0.171 	-0.0687	  930.417	   49.906	  123.823	1.379	17	 ---	300.59101446376	0.0721	 31.37730950615	0.0794	2030885903079184768	  0.2308 	0.1058	 -3.081	0.17 	 -4.889	0.168	0	     1386.5 	      1.4902 	17.8336	0.0012	      501.59 	      10.051   	18.6005	0.0218	      1410.7 	     11.393   	16.8883	0.0088	 1.7122	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Kronberger_69
-0.1638	-0.136 	-0.0831	 1035.988	   39.646	  278.686	1.586	17	 ---	300.62724592822	0.0712	 31.38442584183	0.0875	2030891542402871424	  0.3929 	0.1085	 -2.605	0.168	 -5.46 	0.186	0	     1735.7 	      1.6754 	17.5897	0.001 	      251.42 	       6.3415  	19.3504	0.0274	      2500.5 	      8.9725  	16.2668	0.0039	 3.0836	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Kronberger_69
-0.0171	-0.1664	 0.002 	 2621.197	  243.31 	  446.019	1.356	17	 ---	300.42056178068	0.0215	 31.32625013402	0.0285	2030896421485997568	  0.3107 	0.032 	 -2.874	0.048	 -5.343	0.057	0	    12487.0 	      4.7637 	15.4473	0.0004	     4111.9  	      16.9     	16.3163	0.0045	     12822.0 	     28.747   	14.492 	0.0024	 1.8242	   --- 	 --- 	3982.25	1.37  	0.668 	  6.17	    8.612	  0.4  	Kronberger_69
 0.0032	-0.1495	-0.0437	 1743.293	  122.723	  388.765	1.358	16	 ---	300.55295461664	0.0394	 31.34924042734	0.045 	2030885735606668928	  0.2893 	0.0581	 -2.776	0.093	 -5.707	0.104	0	     3720.6 	      2.1343 	16.7618	0.0006	     1323.9  	      10.787   	17.5468	0.0088	      3727.9 	      9.589   	15.8333	0.0028	 1.7135	   --- 	 --- 	4234.0 	---   	---   	  --- 	    ---  	  0.2  	Kronberger_69
-0.0552	-0.1759	-0.0189	 1161.326	   61.004	  193.972	1.382	17	 ---	300.42298052985	0.0599	 31.3351674026 	0.0834	2030896520238192384	  0.4312 	0.0958	 -2.992	0.136	 -4.976	0.183	1	     1863.6 	      1.6048 	17.5125	0.0009	      548.12 	       8.985   	18.5042	0.0178	      2027.9 	     10.455   	16.4943	0.0056	 2.0099	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Kronberger_69
 0.0456	-0.1356	 0.152 	 1670.819	   57.064	  523.68 	1.586	16	 ---	300.41300776162	0.0427	 31.34241959036	0.0593	2030896593284698624	  0.1868 	0.0689	 -2.795	0.1  	 -4.909	0.128	0	     4598.9 	      2.7525 	16.5317	0.0006	      703.91 	      12.336   	18.2326	0.019 	      6591.6 	     12.587   	15.2144	0.0021	 3.0182	   --- 	 --- 	4139.26	---   	---   	  --- 	    ---  	  0.1  	Kronberger_69
-0.002 	-0.2563	 0.0319	 1194.079	   22.81 	   92.03 	1.618	15	 ---	300.39126615616	0.0567	 31.36825520177	0.083 	2030896868162625536	  0.2695 	0.097 	 -3.159	0.129	 -5.684	0.164	0	     2163.0 	      1.8115 	17.3507	0.0009	      966.14 	      42.355   	17.8888	0.0476	      2534.4 	     27.539   	16.2523	0.0118	 1.6365	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Kronberger_69
