pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.0852	-0.0434	 0.0296	  625.670000000	    26.376000000	   69.880000000	1.359	16	334.20577633130	0.1339	 57.67534607562	0.1140	2198561430618500352	  0.7393 	0.1359	 -4.085	0.265	 -2.882	0.232	0	     1012.50000	      1.61830	18.174900	0.001700	      326.51999	     12.38000 	19.066600	0.041200	     1049.30005	     15.01600	17.209600	0.015500	 1.8570	       	     	       	      	      	      	         	0.03
 0.1196	-0.0498	 0.0717	  862.748000000	    38.311000000	  182.378000000	1.365	16	334.21240722436	0.1040	 57.68374856645	0.0863	2198561430618499584	  0.5441 	0.1037	 -3.261	0.204	 -2.707	0.173	0	     1346.09998	      1.56030	17.865700	0.001300	      436.45001	     11.39200 	18.751600	0.028300	     1400.59998	      7.67950	16.896200	0.006000	 1.8554	       	     	       	      	      	      	         	0.38
 0.1983	-0.0939	 0.0596	  810.365000000	    92.618000000	  268.879000000	1.380	16	334.08895512365	0.0868	 57.67484456045	0.0741	2198564175090820736	  0.6280 	0.0860	 -1.500	0.167	  1.161	0.143	0	     1984.50000	      2.44890	17.444200	0.001300	      720.09003	      7.77480 	18.207900	0.011700	     2018.09998	      7.50570	16.499500	0.004000	 1.7084	       	     	       	      	      	      	         	0.00
 0.1752	-0.0920	 0.0807	 1044.727000000	   109.324000000	  176.047000000	1.320	16	334.08150108827	0.0867	 57.67472433673	0.0721	2198564175090823040	  0.5774 	0.0840	 -2.931	0.163	 -4.711	0.135	0	     2061.69995	      1.97340	17.402800	0.001000	      733.52002	      6.70960 	18.187900	0.009900	     1987.50000	     11.29000	16.516200	0.006200	 1.6717	       	     	       	      	      	      	         	0.00
 0.2783	-0.0410	 0.0956	 2839.685000000	   554.145000000	  720.238000000	1.245	15	334.06722092855	0.0265	 57.67027555963	0.0224	2198564175090811136	  0.7035 	0.0242	 -3.053	0.051	 -4.642	0.044	1	    25312.00000	      8.91350	14.680100	0.000400	    12091.00000	     21.81900 	15.145300	0.002000	    19428.00000	     26.97400	14.040900	0.001500	 1.1044	       	     	5081.0 	1.6607	0.8755	  1.91	    2.194	0.00
 0.1793	-0.0532	 0.1188	 1003.010000000	   100.760000000	  235.883000000	1.386	16	334.09071774101	0.0840	 57.67180610491	0.0706	2198564106382045824	  0.1802 	0.0831	 -3.454	0.161	 -2.599	0.134	0	     2105.19995	      2.09890	17.380100	0.001100	      679.45001	      6.74320 	18.271000	0.010800	     2239.19995	      9.49270	16.386700	0.004600	 1.8843	       	     	       	      	      	      	         	0.63
 0.2141	-0.0571	 0.0456	  744.133000000	    59.049000000	  101.898000000	1.362	16	334.13895668626	0.1047	 57.67369444658	0.0867	2198564316836516992	  0.2307 	0.1072	 -1.628	0.211	 -1.948	0.180	0	     1393.69995	      1.87300	17.827900	0.001500	      455.64999	      7.71640 	18.704800	0.018400	     1442.50000	     14.15600	16.864100	0.010700	 1.8407	       	     	       	      	      	      	         	0.00
 0.2350	-0.0408	 0.0823	  619.475000000	    33.984000000	   76.150000000	1.392	15	334.14237396354	0.1445	 57.67225950400	0.1161	2198564316836517632	  0.3264 	0.1434	 -4.725	0.287	 -5.739	0.243	0	      864.69000	      1.39580	18.346200	0.001800	      268.95999	      7.91420 	19.277200	0.031900	      934.90997	     12.27700	17.335000	0.014300	 1.9422	       	     	       	      	      	      	         	0.00
 0.2878	 0.0606	 0.1368	 1151.142000000	   184.631000000	  406.630000000	1.298	14	334.15200276734	0.0477	 57.67132511926	0.0395	2198564316836519168	  1.0456 	0.0507	 -0.631	0.103	 -0.152	0.087	0	     5496.29980	      4.77470	16.338200	0.000900	     2037.80005	     11.03700 	17.078500	0.005900	     5096.20020	     12.53300	15.493800	0.002700	 1.5847	       	     	4238.8 	0.4657	0.2947	  0.99	    0.288	0.00
 0.3516	 0.1140	 0.1645	 1350.738000000	   133.449000000	  305.163000000	1.292	15	334.15581045015	0.0486	 57.68523834800	0.0408	2198564419915731456	  0.5650 	0.0515	 -5.415	0.109	 -4.708	0.091	0	     5178.60010	      3.83390	16.402800	0.000800	     2166.39990	     16.23400 	17.012000	0.008100	     4523.70020	     14.82400	15.623200	0.003600	 1.3888	       	     	4757.8 	      	      	  1.28	    0.752	0.00
