pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0517	 0.0307	 0.0571	 1164.925	  145.696	  351.997	1.253	15	 ---	131.38854093569	0.0343	-46.43855905318	0.039 	5329794933906625280	  0.6905 	0.0452	 -5.001	0.073	  4.463	0.073	0	     6959.3 	      5.9741 	16.0819	0.0009	     3195.8  	      21.935   	16.5899	0.0075	      5525.2 	     15.697   	15.406 	0.0031	 1.1839	   --- 	 --- 	4890.0 	0.6723	0.332 	  1.13	    0.653	  0.7  	LP_2219
 0.0741	 0.2852	-0.1243	 2525.514	  348.708	  693.938	1.247	16	 ---	130.85128570012	0.023 	-46.72056558522	0.0231	5329803077166455296	  0.5637 	0.028 	 -5.08 	0.048	  4.546	0.044	0	    13803.0 	      5.4656 	15.3384	0.0004	     6751.6  	      19.362   	15.7779	0.0031	     10460.0 	     15.074   	14.713 	0.0016	 1.0648	   --- 	 --- 	5046.6 	1.124 	0.561 	  1.79	    1.876	  0.8  	LP_2219
 0.0144	 0.2373	-0.0866	 3442.636	  492.412	  963.71 	1.227	16	 ---	131.05264754512	0.0173	-46.55313216734	0.0184	5329810979905769600	  0.69   	0.0211	 -4.985	0.037	  4.529	0.033	0	    29832.0 	      8.6654 	14.5017	0.0003	    15623.0  	      31.728   	14.867 	0.0022	     20991.0 	     21.782   	13.9568	0.0011	 0.9101	   --- 	 --- 	5474.0 	---   	---   	  1.77	    2.537	  0.9  	LP_2219
 0.1583	 0.014 	-0.126 	 3259.681	  639.566	  987.177	1.189	16	 ---	130.9160188111 	0.0155	-46.40407346952	0.0158	5329816477463839872	  0.6706 	0.0177	 -5.202	0.034	  4.568	0.031	0	    70584.0 	     21.654  	13.5666	0.0003	    44368.0  	      69.372   	13.7337	0.0017	     39574.0 	     40.088   	13.2684	0.0011	 0.4653	   --- 	 --- 	7759.0 	0.7025	0.3477	  1.39	    6.297	  1.0  	LP_2219
-0.0256	 0.2596	-0.1438	 1303.205	  150.672	  229.107	1.264	14	 ---	130.84263465671	0.051 	-46.32385283833	0.0658	5329829598576009088	  0.5959 	0.0721	 -5.044	0.103	  4.414	0.107	0	     3446.4 	      2.6446 	16.8449	0.0008	     1577.5  	      10.47    	17.3565	0.0072	      2778.6 	     12.128   	16.1523	0.0047	 1.2041	   --- 	 --- 	4919.31	0.5107	0.2645	  0.9 	    0.431	  0.8  	LP_2219
 0.0172	 0.1094	-0.0536	 4980.517	  629.812	 1200.23 	1.194	15	 ---	130.691062488  	0.0232	-46.25810085182	0.0275	5329833519893909888	  0.7262 	0.0301	 -4.988	0.049	  4.583	0.048	0	   145200.0 	     29.154  	12.7834	0.0002	    92813.0  	     147.37    	12.9324	0.0017	     80489.0 	     67.061   	12.4976	0.0009	 0.4348	   --- 	 --- 	7684.81	---   	---   	  1.87	   10.984	  1.0  	LP_2219
 0.0558	 0.1048	-0.1013	 2009.225	  260.984	  474.222	1.256	16	 ---	131.07496924621	0.0267	-46.36187857277	0.0301	5329839562898662400	  0.5856 	0.0348	 -5.098	0.057	  4.512	0.053	0	    10594.0 	      5.2725 	15.6258	0.0005	     5171.5  	      19.815   	16.0674	0.0042	      8138.9 	     17.163   	14.9855	0.0023	 1.0819	   --- 	 --- 	5014.27	1.0753	0.5387	  1.54	    1.343	  0.7  	LP_2219
 0.1211	 0.104 	-0.2138	 1110.115	  371.096	  526.754	1.242	15	 ---	131.03081282213	0.0291	-46.35573869336	0.0333	5329840353172669184	  0.6484 	0.0385	 -4.949	0.059	  4.593	0.056	0	    12888.0 	     11.61   	15.4129	0.001 	     6198.7  	      16.704   	15.8706	0.0029	      9804.5 	     18.613   	14.7834	0.0021	 1.0873	   --- 	 --- 	5049.09	0.9465	0.4713	  1.5 	    1.323	  0.7  	LP_2219
-0.0605	 0.1853	-0.0403	 2355.834	  450.767	  626.705	1.236	16	 ---	131.33417955737	0.0176	-46.33538802191	0.0196	5329843140622581632	  0.6265 	0.0216	 -4.946	0.037	  4.393	0.038	0	    27298.0 	     11.587  	14.598 	0.0005	    13408.0  	      29.745   	15.033 	0.0024	     20338.0 	     32.452   	13.9912	0.0017	 1.0418	   --- 	 --- 	5288.87	---   	---   	  2.02	    2.881	  0.7  	LP_2219
