pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1033	 0.022 	-0.0046	  669.983	   33.382	   96.464	1.487	13	 ---	233.47761741489	0.1228	-55.39847088956	0.1063	5883661272006541184	  0.5593 	0.1512	 -4.199	0.351	 -3.084	0.277	0	     1289.2 	      1.9242 	17.9126	0.0016	      406.19 	      12.168   	18.8296	0.0325	      1510.2 	     15.655   	16.8144	0.0113	 2.0152	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Lynga_4
 0.3737	 0.1035	 0.127 	 1346.454	   67.358	  476.01 	1.59 	13	 ---	233.35370784385	0.0721	-55.41947055016	0.0569	5883660344298705408	  0.1453 	0.0893	 -3.501	0.247	 -3.225	0.159	0	     4305.1 	      3.1974 	16.6034	0.0008	      521.46 	       7.7417  	18.5583	0.0161	      6324.2 	     13.286   	15.2594	0.0023	 3.2989	   --- 	 --- 	4284.17	2.82  	1.4267	  --- 	    ---  	  0.2  	Lynga_4
 0.2114	-0.0782	 0.0892	 1125.98 	   23.228	  255.49 	1.648	13	 ---	233.30942596495	0.0866	-55.43449549042	0.0729	5883660275574160768	  0.2912 	0.1126	 -3.432	0.252	 -3.183	0.188	0	     2275.3 	      2.0208 	17.2958	0.001 	      248.55 	      10.7     	19.3628	0.0467	      3501.2 	     13.704   	15.9014	0.0042	 3.4614	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Lynga_4
 0.2083	-0.1771	 0.0308	 1178.011	   36.084	  355.41 	1.618	13	 ---	233.29813231499	0.0824	-55.42814756385	0.0631	5883660275579234560	  0.1844 	0.1018	 -4.42 	0.233	 -3.301	0.167	0	     2496.0 	      2.1188 	17.1953	0.0009	      264.02 	       7.3169  	19.2973	0.0301	      3774.4 	     10.62    	15.8198	0.0031	 3.4775	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Lynga_4
 0.0629	-0.0468	-0.1118	  671.821	    ---  	    ---  	---  	12	 ---	233.525911585  	0.0884	-55.37833702332	0.074 	5883661237651897600	  0.1549 	0.1033	 -3.319	0.241	 -2.834	0.197	0	     2269.3 	      3.3778 	17.2986	0.0016	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Lynga_4
 0.0042	 0.0629	-0.0552	 1487.443	  129.905	  332.644	1.41 	13	 ---	233.47222589988	0.0584	-55.39919074183	0.0497	5883661272011630720	  0.3747 	0.0731	 -4.24 	0.17 	 -3.46 	0.135	0	     4951.9 	      3.3292 	16.4514	0.0007	     1283.1  	       9.8773  	17.5807	0.0084	      5697.5 	     17.128   	15.3727	0.0033	 2.208 	   --- 	 --- 	3842.0 	2.5265	1.2395	  --- 	    ---  	  0.4  	Lynga_4
 0.0702	 0.1081	-0.0747	 1500.197	  126.042	  529.134	1.532	13	 ---	233.44783024329	0.0583	-55.40242816417	0.0482	5883660962773989120	  0.3331 	0.0724	 -4.295	0.181	 -3.549	0.135	0	     9396.0 	      6.2632 	15.756 	0.0007	     1427.3  	      11.324   	17.4651	0.0086	     12963.0 	     24.499   	14.4801	0.0021	 2.985 	   --- 	 --- 	4452.6 	2.8865	1.4578	  --- 	    ---  	  0.1  	Lynga_4
 0.0369	 0.1391	 0.0206	 1109.285	   62.995	  267.883	1.509	13	 ---	233.44910459913	0.0635	-55.4184647483 	0.061 	5883660924103015424	  0.1439 	0.0866	 -4.028	0.194	 -3.421	0.159	0	     4039.7 	      3.6417 	16.6725	0.001 	      776.49 	      12.326   	18.126 	0.0172	      5317.9 	     19.852   	15.4476	0.0041	 2.6785	   --- 	 --- 	3604.72	2.746 	1.3773	  --- 	    ---  	  0.1  	Lynga_4
 0.0278	 0.3932	-0.2159	 1423.316	  121.821	  419.321	1.457	11	 ---	233.44473111794	0.0612	-55.40212121164	0.0468	5883660962773989760	  0.4267 	0.0814	 -4.245	0.239	 -3.091	0.157	0	     4470.1 	      3.1406 	16.5626	0.0008	      951.52 	       7.8109  	17.9053	0.0089	      5560.6 	     13.261   	15.3991	0.0026	 2.5062	   --- 	 --- 	3551.5 	2.707 	1.358 	  --- 	    ---  	  0.6  	Lynga_4
