pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.2583	 0.3049	 0.0722	 2017.984	  169.769	  504.448	1.614	15	 ---	129.71385287929	0.0729	-79.27037058451	0.0847	5208993000095283968	  9.9578 	0.0867	-28.494	0.148	 26.619	0.191	0	    22784.0 	     11.29   	14.7943	0.0005	     2250.8  	      13.258   	16.9705	0.0064	     34532.0 	     68.455   	13.4164	0.0022	 3.5542	   --- 	 --- 	3502.0 	---   	---   	  --- 	    ---  	  1.0  	Mamajek_1
-0.275 	 0.3816	-0.0844	  317.122	   98.961	  132.696	1.281	16	 0.0	129.23356098585	0.1189	-78.9458937763 	0.1216	5209082129256747008	  9.9836 	0.1262	-29.637	0.246	 27.574	0.219	0	  1818200.0 	   5733.3    	10.0393	0.0034	   666010.0  	    6730.0     	10.7927	0.011 	   1662700.0 	  12530.0     	 9.2099	0.0082	 1.5828	  17.58	 1.37	4364.6 	---   	---   	  1.73	    0.98 	  1.0  	Mamajek_1
-0.1057	 0.3507	-0.0122	 2470.048	  571.916	  353.752	1.142	15	 ---	130.43557597133	0.0288	-79.048010664  	0.0403	5209019835050998784	  9.9987 	0.0327	-30.746	0.059	 27.038	0.084	0	 21517000.0 	   8711.1    	 7.3564	0.0004	 14313000.0  	   25026.0     	 7.4621	0.0019	  10270000.0 	  29032.0     	 7.233 	0.0031	 0.2291	   --- 	 --- 	8142.67	0.1657	0.0812	  --- 	    ---  	  1.0  	Mamajek_1
-0.1382	 0.3702	-0.0139	  768.927	   84.672	  315.54 	1.536	16	 ---	131.04885653583	0.0567	-78.27791622453	0.0763	5209201563706924288	 10.0361 	0.0764	-24.81 	0.114	 27.691	0.128	0	     6971.4 	      9.0664 	16.0801	0.0014	      987.76 	      11.666   	17.8648	0.0128	      9722.6 	     30.813   	14.7925	0.0034	 3.0723	   --- 	 --- 	3754.03	0.7147	0.4227	  --- 	    ---  	  1.0  	Mamajek_1
-0.3475	 0.0562	 0.0909	  876.52 	  372.312	  541.582	1.136	15	 ---	130.33064041469	0.0997	-78.96324722621	0.1073	5209038595468151168	 10.0442 	0.0912	-29.776	0.216	 26.6  	0.245	0	126810000.0 	 144680.0    	 5.4305	0.0012	 95004000.0  	  255170.0     	 5.407 	0.0029	  49020000.0 	  90512.0     	 5.536 	0.002 	-0.129 	   --- 	 --- 	8847.25	0.1073	0.054 	  --- 	    ---  	  1.0  	Mamajek_1
-0.12  	 0.4028	 0.0946	  285.653	   70.192	  117.883	1.363	16	 0.0	130.59829837223	0.0212	-79.06738150492	0.0293	5209019521517870080	 10.0477 	0.0235	-30.86 	0.042	 25.877	0.055	0	   319310.0 	   1117.8    	11.9278	0.0038	    88474.0  	    1260.5     	12.9843	0.0155	    346810.0 	   2942.0     	10.9117	0.0092	 2.0727	  16.01	 1.21	4023.0 	---   	---   	  0.93	    0.206	  1.0  	Mamajek_1
-0.0977	 0.3332	-0.0996	  879.029	   22.119	  206.126	1.583	16	 ---	135.439607005  	0.0821	-77.36839148842	0.0871	5215276979629320064	 10.0516 	0.0901	-26.208	0.169	 31.263	0.16 	0	     1709.4 	      1.9447 	17.6062	0.0012	      206.39 	       9.3311  	19.5647	0.0491	      2499.1 	     12.124   	16.2674	0.0053	 3.2972	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Mamajek_1
-0.0053	 0.3129	 0.0839	  631.568	   49.783	   39.5  	1.065	15	 ---	130.80020750388	0.0364	-79.06998109631	0.0431	5209024611054646272	 10.096  	0.0389	-27.168	0.072	 28.015	0.073	0	 75577000.0 	 119670.0    	 5.9924	0.0017	 44776000.0  	  899430.0     	 6.2238	0.0218	  35716000.0 	 904210.0     	 5.8798	0.0275	 0.344 	   --- 	 --- 	7030.0 	---   	---   	  3.62	   28.8  	  1.0  	Mamajek_1
-0.1941	 0.2947	 0.1433	  881.188	  289.262	  413.231	1.442	16	 ---	130.40358188167	0.0315	-79.05836589229	0.0442	5209019731971781248	 10.12   	0.0365	-28.595	0.063	 27.419	0.089	0	   107140.0 	    121.59   	13.1135	0.0012	    22040.0  	      76.194   	14.4934	0.0038	    132470.0 	    320.57    	11.9566	0.0026	 2.5367	   --- 	 --- 	3723.12	---   	---   	  0.69	    0.083	  1.0  	Mamajek_1
