pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0789	-0.3172	 0.087 	 4762.611	  630.493	  773.688	1.227	18	 ---	348.81846328741	0.0166	 60.43936773694	0.0134	2013906492910287360	  0.2907 	0.019 	 -3.487	0.033	 -2.562	0.027	0	    63708.0 	     13.377  	13.6779	0.0002	    34953.0  	      55.438   	13.9927	0.0017	     43242.0 	     55.891   	13.1722	0.0014	 0.8205	   --- 	 --- 	5810.0 	1.843 	0.9263	  5.38	   29.708	  1.0  	Markarian_50
 0.1051	-0.2834	 0.0935	 1324.589	  119.269	  339.105	1.299	16	 ---	348.89344501896	0.053 	 60.48210388535	0.0532	2013907077025834112	  0.1958 	0.0693	 -3.357	0.11 	 -2.724	0.097	0	     3415.0 	      2.5782 	16.8549	0.0008	     1407.4  	      11.8     	17.4804	0.0091	      3030.1 	      8.9356  	16.0583	0.0032	 1.4221	   --- 	 --- 	4493.0 	---   	---   	  --- 	    ---  	  0.8  	Markarian_50
 0.042 	-0.2547	 0.1093	 1430.127	  107.695	  346.631	1.375	17	 ---	348.95178158335	0.0498	 60.4806432012 	0.052 	2013906939587034880	  0.4824 	0.0627	 -3.423	0.104	 -2.721	0.097	0	     3553.7 	      2.4849 	16.8117	0.0008	     1205.0  	      11.189   	17.6489	0.0101	      3680.6 	     10.618   	15.8471	0.0031	 1.8018	   --- 	 --- 	3993.0 	---   	---   	  2.1 	    1.01 	  0.7  	Markarian_50
 0.1274	-0.314 	 0.04  	  938.326	   62.428	  195.917	1.386	18	 ---	348.86259044059	0.0859	 60.44957703401	0.0713	2013906419885215872	  0.4186 	0.1   	 -3.564	0.171	 -2.695	0.141	0	     1442.6 	      1.5374 	17.7905	0.0012	      490.62 	       7.859   	18.6245	0.0174	      1508.2 	      7.6982  	16.8158	0.0055	 1.8088	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Markarian_50
 0.0817	-0.2459	 0.0836	  974.791	  103.182	  226.675	1.304	17	 ---	348.82858811797	0.0478	 60.45640089845	0.0459	2013906664708975360	  0.3515 	0.0619	 -3.233	0.101	 -2.65 	0.087	0	     3556.3 	      3.6482 	16.8109	0.0011	     1432.4  	      13.882   	17.4612	0.0105	      3203.4 	     14.132   	15.9979	0.0048	 1.4633	   --- 	 --- 	4348.37	---   	---   	  --- 	    ---  	  0.7  	Markarian_50
 0.0675	-0.1985	 0.1082	 3434.038	  572.332	  618.959	1.265	18	 ---	348.807811527  	0.0136	 60.45023430599	0.0125	2013906561629759872	  0.3713 	0.0166	 -3.534	0.028	 -2.42 	0.025	0	    73395.0 	     21.373  	13.5242	0.0003	    35488.0  	      62.006   	13.9762	0.0019	     57355.0 	     92.663   	12.8655	0.0018	 1.1107	   --- 	 --- 	4958.92	---   	---   	  6.56	   23.432	  0.8  	Markarian_50
 0.0942	-0.2644	 0.1001	 1505.722	  198.329	  403.358	1.309	18	 ---	348.7895570162 	0.0498	 60.44024925288	0.045 	2013906561629761152	  0.2663 	0.0598	 -3.653	0.098	 -2.405	0.086	0	     3517.1 	      2.3358 	16.8229	0.0007	     1423.3  	       7.1765  	17.4681	0.0055	      3179.5 	      7.8825  	16.006 	0.0027	 1.4621	   --- 	 --- 	4361.33	2.9465	1.499 	  --- 	    ---  	  0.6  	Markarian_50
 0.0802	-0.2906	 0.0808	  939.033	   53.097	  186.67 	1.379	18	 ---	348.77943074709	0.0891	 60.43941317808	0.08  	2013906527270022656	  0.4869 	0.11  	 -3.473	0.179	 -2.331	0.155	0	     1419.2 	      1.5113 	17.8083	0.0012	      483.57 	       9.1074  	18.6402	0.0204	      1473.5 	      7.8936  	16.841 	0.0058	 1.7992	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Markarian_50
 0.0962	-0.2631	 0.0192	 1269.286	  595.018	 1313.728	1.221	16	 ---	348.79970123683	0.0309	 60.44627539942	0.0234	2013906561629760768	  0.3585 	0.0313	 -3.455	0.066	 -2.447	0.048	0	   733830.0 	    578.14   	11.0244	0.0009	   370820.0  	     623.2     	11.4285	0.0018	    525230.0 	    399.8     	10.461 	0.0008	 0.9674	   --- 	 --- 	5369.33	---   	---   	 17.68	  234.025	  0.9  	Markarian_50
