pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.5089	 0.028 	 0.1646	 4833.571	  728.638	 1041.037	1.253	16	 ---	240.36257993245	0.0231	-54.12938011212	0.0153	5932751511316978176	  0.3637 	0.0295	 -2.329	0.047	 -2.917	0.038	0	    22963.0 	      4.7507 	14.7858	0.0002	    10748.0  	      14.751   	15.273 	0.0015	     18031.0 	     17.32    	14.1219	0.001 	 1.1512	   --- 	 --- 	5121.83	---   	---   	  3.45	    7.39 	  0.3  	Moffat_1
-0.4025	-0.0617	 0.248 	 2868.112	  388.351	  742.752	1.323	14	 ---	240.36078067582	0.0416	-54.13104764001	0.0235	5932751511316976768	  0.3989 	0.0483	 -2.403	0.072	 -2.902	0.057	0	     9436.0 	      3.29   	15.7514	0.0004	     3362.3  	       8.6578  	16.5348	0.0028	      9123.7 	     12.284   	14.8615	0.0015	 1.6733	   --- 	 --- 	4162.83	---   	---   	  3.62	    3.539	  0.2  	Moffat_1
-0.4448	 0.0518	 0.2546	 2885.863	  209.106	  477.418	1.286	16	 ---	240.35084135643	0.0418	-54.08300709375	0.0248	5932751923633906304	  0.3959 	0.0513	 -2.317	0.075	 -2.972	0.06 	0	     7010.1 	      2.4291 	16.0741	0.0004	     2919.8  	      13.963   	16.688 	0.0052	      6094.9 	     12.766   	15.2995	0.0023	 1.3885	   --- 	 --- 	4845.78	---   	---   	  2.02	    2.024	  0.8  	Moffat_1
-0.4409	 0.1164	 0.1969	 1817.587	  178.458	  143.442	1.467	16	 ---	240.29215112611	0.0577	-54.0640667554 	0.0367	5932752645120835200	  0.3857 	0.072 	 -1.885	0.118	 -3.092	0.087	0	     3232.9 	      1.7787 	16.9144	0.0006	     1211.7  	       6.7901  	17.6429	0.0061	      3530.1 	     24.61    	15.8924	0.0076	 1.7504	   --- 	 --- 	4256.56	---   	---   	  --- 	    ---  	  0.1  	Moffat_1
-0.3229	 0.0935	 0.2217	 5602.114	  686.149	 1366.906	1.238	16	 ---	240.36579979928	0.0319	-54.14058280814	0.0228	5932750033848211072	  0.4417 	0.0374	 -2.253	0.059	 -2.963	0.045	1	   200090.0 	     35.717  	12.4353	0.0002	    99213.0  	     144.59    	12.86  	0.0016	    148520.0 	    108.65    	11.8325	0.0008	 1.0275	   --- 	 --- 	5187.58	---   	---   	  8.13	   43.152	  0.5  	Moffat_1
-0.3937	 0.0157	 0.0435	 1365.351	   44.566	  210.407	1.477	14	 ---	240.36082635003	0.0973	-54.03897080942	0.0586	5932752365947495680	  0.3585 	0.1144	 -2.696	0.176	 -2.982	0.142	0	     1876.9 	      1.3747 	17.5048	0.0008	      394.67 	       8.8559  	18.8608	0.0244	      2377.8 	     11.301   	16.3215	0.0052	 2.5393	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Moffat_1
-0.4499	 0.0623	 0.2443	 3479.39 	  817.5  	 1552.791	1.379	15	 0.0	240.30674203099	0.0289	-54.23910276145	0.0191	5932749239200619392	  0.4301 	0.0386	 -2.473	0.056	 -3.141	0.044	0	   112510.0 	     32.335  	13.0604	0.0003	    29608.0  	      36.217   	14.1729	0.0013	    125570.0 	     80.865   	12.0147	0.0007	 2.1581	 -55.62	 0.94	3931.44	1.612 	0.782 	 13.96	   41.915	  0.3  	Moffat_1
-0.4047	 0.0923	 0.118 	 3757.554	  603.241	  142.947	1.311	16	 ---	240.43211414545	0.0269	-54.13979404822	0.0186	5932748556379426816	  0.3836 	0.0325	 -2.275	0.052	 -2.984	0.042	0	    17020.0 	      4.5297 	15.1109	0.0003	     8445.6  	      14.0     	15.5348	0.0018	     13874.0 	     97.059   	14.4064	0.0076	 1.1284	   --- 	 --- 	4958.25	---   	---   	  3.06	    5.09 	  0.8  	Moffat_1
-0.5285	 0.1978	 0.1133	 1566.817	 1005.979	 1943.209	1.231	15	 ---	240.3636117852 	0.0295	-54.04702851787	0.0212	5932752335950803456	  0.3733 	0.0373	 -2.339	0.061	 -2.974	0.049	0	   427020.0 	    272.54   	11.6123	0.0007	   206660.0  	     205.43    	12.0633	0.0011	    318990.0 	    164.15    	11.0025	0.0006	 1.0608	   --- 	 --- 	5656.7 	---   	---   	 11.5 	  122.03 	  0.5  	Moffat_1
