pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.4208	 0.2961	 0.1193	  416.835	   31.622	  135.162	1.441	 9	 ---	 98.31520048884	0.1281	  4.53610840318	0.1312	3130554284272036992	  0.6074 	0.1572	 -1.835	0.25 	  0.051	0.22 	0	     2220.0 	      5.3258 	17.3225	0.0026	      523.61 	      16.558   	18.5539	0.0343	      2675.3 	     19.793   	16.1935	0.008 	 2.3604	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	NGC_2244
 0.0467	 0.0957	-0.042 	  486.642	   79.643	  203.977	1.314	 8	 ---	 98.45715948556	0.0525	  4.53472967397	0.0419	3130556139698030848	  0.6572 	0.06  	 -1.377	0.087	  0.032	0.067	0	    18269.0 	     37.541  	15.0341	0.0022	     6553.9  	      82.292   	15.8101	0.0136	     17445.0 	     85.524   	14.1578	0.0053	 1.6524	   --- 	 --- 	4311.0 	2.1198	1.17  	  2.74	    2.333	  0.9  	NGC_2244
-0.0249	 0.1115	-0.0104	  262.177	   56.777	   52.67 	1.526	11	 ---	 98.51426166922	0.0805	  4.56908874749	0.0815	3130558166922576512	  0.8257 	0.094 	 -1.22 	0.155	  0.288	0.135	0	     6452.3 	     24.61   	16.1641	0.0041	     1983.9  	      34.942   	17.1076	0.0191	      7860.8 	    149.25    	15.0233	0.0206	 2.0843	   --- 	 --- 	3783.75	---   	---   	  1.98	    0.721	  0.7  	NGC_2244
 0.0721	 0.1277	-0.0301	  348.476	   29.417	   95.936	1.588	10	 ---	 98.50664198431	0.1461	  4.5448429344 	0.1516	3130556582078192256	  0.6101 	0.1751	 -1.558	0.279	 -0.133	0.25 	0	     1367.6 	      3.9245 	17.8485	0.0031	      298.89 	      10.16    	19.1626	0.0369	      1872.2 	     19.515   	16.581 	0.0113	 2.5816	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	NGC_2244
-0.3253	 0.4607	 0.2713	 1090.318	  142.99 	  417.429	1.364	 9	 ---	 98.24854510296	0.0698	  4.61418723884	0.0799	3130555830460261632	  0.2582 	0.1068	 -0.307	0.138	  1.344	0.139	0	     5828.1 	      5.3453 	16.2745	0.001 	     2364.7  	      16.537   	16.917 	0.0076	      5582.8 	     13.374   	15.3948	0.0026	 1.5222	   --- 	 --- 	4294.48	---   	---   	  --- 	    ---  	  0.1  	NGC_2244
-0.0173	 0.3861	 0.2152	 3044.141	 1074.716	  594.289	1.208	10	 ---	 98.27676808536	0.0434	  4.58903926176	0.0504	3130555555582354816	  0.5957 	0.0676	 -0.815	0.081	  1.057	0.073	0	   155930.0 	     51.224  	12.706 	0.0004	    91055.0  	      84.725   	12.9531	0.001 	     97296.0 	    163.72    	12.2917	0.0018	 0.6614	   --- 	 --- 	6346.0 	---   	---   	  3.41	   17.022	  0.4  	NGC_2244
 0.0049	-0.0221	-0.0225	  842.451	   53.694	   85.102	1.46 	10	 ---	 98.09937904609	0.1116	  4.3926520106 	0.1084	3130527758554044800	  0.287  	0.1195	 -0.509	0.226	 -0.871	0.207	0	     2513.2 	      2.9833 	17.1878	0.0013	      722.02 	      13.447   	18.205 	0.0202	      2948.0 	     34.64    	16.0881	0.0128	 2.1169	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	NGC_2244
-0.6119	 0.2193	 0.0803	 1143.686	   79.7  	  323.379	1.275	 9	 ---	 98.31877534999	0.0566	  4.4985755617 	0.0589	3130550848298203136	  0.6993 	0.0626	 -1.623	0.12 	  0.859	0.116	0	     9505.0 	      8.3108 	15.7435	0.0009	     3936.4  	      49.39    	16.3637	0.0136	      8184.2 	     25.308   	14.9795	0.0034	 1.3842	   --- 	 --- 	4638.35	---   	---   	  1.5 	    0.936	  0.6  	NGC_2244
-0.4564	 0.2615	 0.1034	   80.895	   11.435	   22.541	1.559	 9	 ---	 98.32251601056	0.1787	  4.52264976342	0.1964	3130551329334538496	  0.7276 	0.2245	 -1.437	0.353	 -0.031	0.32 	0	     1374.8 	     16.995  	17.8428	0.0134	      465.76 	      40.731   	18.681 	0.0949	      1677.4 	     74.412   	16.7004	0.0482	 1.9806	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	NGC_2244
