pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0191	 0.235 	-0.2357	  683.124	   88.059	  201.597	1.373	15	 ---	116.4800140645 	0.025 	-37.48143433231	0.0294	5538853291664841088	  2.9251 	0.0329	 -8.981	0.052	  4.881	0.051	0	    14852.0 	     21.741  	15.2589	0.0016	     4732.2  	      53.739   	16.1637	0.0123	     15664.0 	     77.698   	14.2747	0.0054	 1.889 	   --- 	 --- 	3909.14	1.442 	0.727 	  0.76	    0.121	  0.8  	NGC_2451B
 0.0966	 0.176 	-0.0844	  559.199	  154.111	  229.744	1.223	16	 0.0	118.05501794377	0.0198	-38.36775362981	0.0244	5538884524665695872	  2.7659 	0.0249	-11.061	0.042	  3.908	0.045	1	   159020.0 	    284.37   	12.6847	0.0019	    80084.0  	     519.65    	13.0925	0.007 	    114340.0 	    497.7     	12.1164	0.0047	 0.9761	  27.23	 9.12	5345.0 	0.305 	0.143 	  1.08	    0.855	  0.9  	NGC_2451B
 0.0066	 0.229 	-0.2252	 2711.849	 1040.498	  675.444	1.15 	15	 ---	116.45251294097	0.034 	-37.54665039983	0.0433	5538852668885283328	  2.7233 	0.048 	-10.641	0.073	  4.442	0.073	1	  4138400.0 	   1526.0    	 9.1463	0.0004	  2954700.0  	    2839.7     	 9.1751	0.001 	   1805100.0 	   2672.4     	 9.1207	0.0016	 0.0544	   --- 	 --- 	9212.0 	0.1967	0.088 	  --- 	    ---  	  1.0  	NGC_2451B
-0.0005	 0.0726	-0.0186	  470.268	   23.388	  135.454	1.537	14	 ---	116.45539760653	0.0628	-37.52727385167	0.0911	5538853046844946944	  2.7656 	0.0994	 -9.633	0.136	  4.29 	0.163	0	     2007.9 	      4.2697 	17.4315	0.0023	      406.57 	      17.384   	18.8286	0.0464	      2680.1 	     19.786   	16.1915	0.008 	 2.637 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	NGC_2451B
 0.0355	 0.2096	-0.2051	  788.249	  228.906	  190.409	1.272	15	 0.0	116.40659992968	0.0213	-37.50743424972	0.0287	5538853012482664576	  2.8448 	0.0319	 -9.883	0.046	  4.616	0.046	0	   135810.0 	    172.29   	12.856 	0.0014	    70376.0  	     307.45    	13.2328	0.0047	    102360.0 	    537.6     	12.2366	0.0057	 0.9963	  22.17	 9.22	5263.0 	0.322 	0.1523	  1.0 	    0.698	  1.0  	NGC_2451B
 0.1075	 0.1531	 0.0404	  895.927	   97.695	  305.104	1.481	15	 ---	118.03377717873	0.0554	-38.34459320162	0.0647	5538884799543607296	  2.8076 	0.0688	-11.087	0.119	  4.1  	0.132	0	     3770.8 	      4.2089 	16.7473	0.0012	      727.02 	       7.4417  	18.1975	0.0111	      4859.3 	     15.927   	15.5455	0.0036	 2.652 	   --- 	 --- 	3267.5 	---   	---   	  --- 	    ---  	  0.9  	NGC_2451B
-0.0846	 0.2843	-0.0245	  753.624	   76.662	  292.883	1.467	12	 ---	116.5075716025 	0.0619	-37.58186686278	0.075 	5538851947333102592	  2.6404 	0.0922	 -8.701	0.12 	  4.347	0.122	0	     3660.0 	      4.8566 	16.7797	0.0014	      790.89 	      10.317   	18.1061	0.0142	      4579.8 	     15.637   	15.6098	0.0037	 2.4963	   --- 	 --- 	3686.35	2.447 	1.224 	  0.51	    0.043	  0.9  	NGC_2451B
-0.0928	 0.1902	-0.0165	  532.621	   46.755	  167.73 	1.5  	13	 ---	116.51015343434	0.0544	-37.5794885727 	0.0703	5538851981692850816	  2.5812 	0.0822	 -9.323	0.11 	  4.683	0.118	0	     4185.0 	      7.8575 	16.6341	0.002 	      802.41 	      17.162   	18.0904	0.0232	      5474.1 	     32.636   	15.4161	0.0065	 2.6743	   --- 	 --- 	3641.86	---   	---   	  0.58	    0.053	  1.0  	NGC_2451B
-0.1275	 0.1022	 0.0515	 1295.807	  397.101	  462.389	1.247	14	 ---	115.56030489877	0.0124	-37.43386452839	0.0164	5586837078611776640	  2.6974 	0.0174	 -9.417	0.027	  4.997	0.031	0	    55946.0 	     43.175  	13.8189	0.0008	    24427.0  	      61.512   	14.3817	0.0027	     45361.0 	     98.101   	13.1202	0.0023	 1.2615	   --- 	 --- 	5069.75	---   	---   	  0.75	    0.331	  1.0  	NGC_2451B
