pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.1269	-0.4143	 0.3609	 1055.636000000	    47.724000000	  216.435000000	1.647	10	274.52682685829	0.1055	-12.33223630385	0.1114	4153561961730266368	 -0.1559 	0.1455	 -1.301	0.173	 -1.489	0.149	0	    11053.00000	     10.47100	15.579600	0.001000	     1225.80005	     25.68400 	17.630400	0.022700	    16979.00000	     78.45000	14.187100	0.005000	 3.4432	       	     	3704.7 	      	      	      	         	0.00
 0.2303	-0.3145	 0.2297	 1191.708000000	    63.436000000	  317.359000000	1.632	11	274.55477453566	0.0803	-12.31752228468	0.0818	4153562099169203456	  0.0834 	0.0977	 -0.790	0.148	 -3.151	0.128	0	    10158.00000	      8.52370	15.671400	0.000900	     1325.09998	     20.88900 	17.545800	0.017100	    15249.00000	     48.05100	14.303800	0.003400	 3.2420	       	     	4326.0 	1.9535	1.0382	      	         	0.01
 0.2494	-0.3632	 0.2840	 1126.397000000	   115.526000000	  184.590000000	1.548	10	274.54166397378	0.0899	-12.32532625567	0.0988	4153562064809471232	  0.0085 	0.1202	  0.015	0.154	 -3.583	0.139	0	     7753.10010	      6.88310	15.964700	0.001000	     1335.09998	     11.55700 	17.537600	0.009400	    10667.00000	     57.78800	14.691800	0.005900	 2.8458	       	     	3913.7 	1.5203	0.8303	      	         	0.00
 0.2659	-0.2973	 0.2009	  733.387000000	    50.771000000	  125.000000000	1.476	11	274.53047520675	0.1235	-12.32797768939	0.1216	4153562060489981184	  0.5997 	0.1398	 -0.570	0.227	 -4.085	0.202	0	     1577.09998	      2.15050	17.693700	0.001500	      538.34998	     10.60300 	18.523700	0.021400	     1789.59998	     14.31700	16.630000	0.008700	 1.8937	       	     	       	      	      	      	         	0.00
 0.2910	-0.3123	 0.2442	  766.917000000	    48.055000000	  160.301000000	1.585	11	274.54121135572	0.1273	-12.31965341183	0.1240	4153562099169218560	  0.1167 	0.1515	 -1.303	0.235	 -3.739	0.204	0	     2275.50000	      2.96710	17.295700	0.001400	      558.47998	     11.62200 	18.483900	0.022600	     3047.50000	     19.01100	16.052100	0.006800	 2.4318	       	     	       	      	      	      	         	0.00
 0.2855	-0.2747	 0.2206	  569.856000000	    22.573000000	  156.705000000	1.749	11	274.53396592398	0.1461	-12.33055241841	0.1428	4153562060489784320	  0.0423 	0.1665	  0.402	0.274	 -3.870	0.243	0	     1428.59998	      2.50690	17.801100	0.001900	      281.32001	     12.46200 	19.228400	0.048100	     2216.89990	     14.14700	16.397600	0.006900	 2.8308	       	     	       	      	      	      	         	0.00
 0.2672	-0.2852	 0.2142	 1942.968000000	   279.176000000	  446.400000000	1.268	11	274.55001485195	0.0387	-12.31290237679	0.0388	4153562099169217280	  0.9612 	0.0445	  6.740	0.074	  0.166	0.065	0	    14907.00000	      7.67210	15.254900	0.000600	     6462.60010	     23.14900 	15.825400	0.003900	    12440.00000	     27.86700	14.524900	0.002400	 1.3005	       	     	4888.9 	1.1220	0.5430	  1.18	    0.722	0.00
 0.0870	-0.4475	 0.3521	 2956.783000000	   378.550000000	  750.178000000	1.248	10	274.53637169598	0.0313	-12.32741516776	0.0341	4153562060489231360	  0.8877 	0.0428	 -5.234	0.062	 -3.991	0.053	0	    43264.00000	     14.63200	14.098000	0.000400	    19915.00000	     52.60800 	14.603500	0.002900	    34098.00000	     45.45300	13.430100	0.001400	 1.1733	       	     	4905.0 	      	      	  2.17	    2.447	0.00
 0.3143	-0.2789	 0.2297	  480.007000000	    21.485000000	   98.932000000	1.769	11	274.53118604181	0.1817	-12.32870085758	0.1824	4153562060500249856	 -0.3331 	0.2156	  0.602	0.347	 -2.974	0.326	0	     1122.09998	      2.33760	18.063300	0.002300	      227.19000	     10.57400 	19.460400	0.050500	     1758.00000	     17.77000	16.649400	0.011000	 2.8110	       	     	       	      	      	      	         	0.01
 0.3686	-0.2940	 0.2217	  502.624000000	    30.659000000	   80.380000000	1.461	11	274.53982729214	0.1585	-12.32246833403	0.1563	4153562094849530240	  0.8484 	0.1798	  3.137	0.293	 -9.063	0.262	0	     1146.09998	      2.28020	18.040300	0.002200	      422.89001	     13.79300 	18.785800	0.035400	     1251.30005	     15.56800	17.018500	0.013500	 1.7673	       	     	       	      	      	      	         	0.00
