pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1227	 0.1581	-0.1274	 1323.389	   69.61 	  324.581	1.356	15	 ---	138.89590897689	0.0707	-50.05523854142	0.0691	5325671043736230400	  0.4871 	0.0841	 -5.333	0.15 	  3.742	0.131	0	     2218.6 	      1.6764 	17.3232	0.0008	      708.45 	      10.177   	18.2256	0.0156	      2300.2 	      7.0868  	16.3575	0.0033	 1.8681	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Pismis_11
 0.0665	 0.0892	-0.1199	 1489.904	  106.087	  393.46 	1.431	16	 ---	138.98634701164	0.0542	-50.02991376578	0.0543	5325671898427689984	  0.2547 	0.0642	 -5.269	0.121	  4.382	0.107	0	     4324.1 	      2.9023 	16.5986	0.0007	     1151.9  	      10.858   	17.6979	0.0102	      5033.9 	     12.794   	15.5072	0.0028	 2.1907	   --- 	 --- 	4136.59	2.273 	1.131 	  --- 	    ---  	  0.5  	Pismis_11
 0.1952	 0.0564	-0.1977	 1161.252	   63.095	  302.894	1.476	16	 ---	139.01942432197	0.0692	-50.05381381018	0.0664	5325671623549769984	  0.3168 	0.0809	 -5.289	0.158	  3.757	0.136	0	     2610.0 	      2.2476 	17.1468	0.0009	      559.85 	       8.8731  	18.4812	0.0172	      3292.9 	     10.871   	15.968 	0.0036	 2.5132	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Pismis_11
 0.089 	 0.1023	-0.126 	 1669.074	  185.445	  449.19 	1.346	16	 ---	138.97618046574	0.041 	-50.01421701395	0.0389	5325671967152916608	  0.2096 	0.0481	 -5.411	0.09 	  3.58 	0.077	0	     5873.8 	      3.5192 	16.2661	0.0007	     2062.1  	      11.12    	17.0656	0.0059	      5845.6 	     13.014   	15.3448	0.0024	 1.7208	   --- 	 --- 	4160.0 	1.5957	0.81  	  --- 	    ---  	  0.8  	Pismis_11
 0.0463	 0.0811	-0.1161	  704.938	   74.815	  237.442	1.505	16	 ---	139.03731191126	0.0592	-50.0556091766 	0.0595	5325668707274196608	  0.3228 	0.0709	 -5.335	0.132	  4.55 	0.119	0	     3091.1 	      4.3849 	16.9631	0.0015	      580.79 	       7.7629  	18.4413	0.0145	      4071.5 	     17.147   	15.7375	0.0046	 2.7038	   --- 	 --- 	3798.0 	---   	---   	  --- 	    ---  	  0.2  	Pismis_11
 0.0613	 0.1029	-0.1265	 1207.011	  233.916	  377.013	1.388	16	 ---	139.03110199894	0.0384	-50.05593332675	0.0378	5325668672914456960	  0.3645 	0.0458	 -5.241	0.085	  4.202	0.075	0	     5979.0 	      4.9536 	16.2468	0.0009	     1738.7  	       7.4331  	17.2508	0.0046	      6561.3 	     17.403   	15.2195	0.0029	 2.0314	   --- 	 --- 	3675.0 	---   	---   	  4.74	    3.696	  0.8  	Pismis_11
 0.1754	 0.1327	-0.2174	 2417.27 	  426.2  	  749.478	1.376	16	 ---	139.01089138779	0.0262	-49.99126253475	0.0253	5325672418125791616	  0.303  	0.0308	 -5.348	0.058	  3.872	0.05 	0	    14460.0 	      5.9819 	15.288 	0.0004	     4370.9  	      10.255   	16.25  	0.0025	     15523.0 	     20.712   	14.2845	0.0014	 1.9655	   --- 	 --- 	3909.0 	1.603 	0.792 	  7.24	   11.018	  1.0  	Pismis_11
 0.1021	 0.2109	-0.123 	 3521.749	  745.932	  783.019	1.269	16	 ---	138.96558362787	0.0171	-50.02810994571	0.0169	5325671864067850368	  0.3128 	0.02  	 -5.398	0.036	  3.855	0.032	0	   119120.0 	     33.823  	12.9984	0.0003	    52320.0  	      70.14    	13.5547	0.0015	     98869.0 	    126.27    	12.2743	0.0014	 1.2804	   --- 	 --- 	4768.91	---   	---   	 10.99	   56.257	  1.0  	Pismis_11
 0.0926	 0.2522	-0.1396	  734.994	  146.534	  448.824	1.254	15	 ---	138.87910933874	0.0244	-50.03907522661	0.0251	5325671249894661888	  0.3568 	0.0303	 -5.37 	0.051	  3.839	0.044	0	   388690.0 	    528.83   	11.7144	0.0015	   173130.0  	    1181.5     	12.2555	0.0074	    314380.0 	    700.45    	11.0183	0.0024	 1.2372	   --- 	 --- 	4964.07	---   	---   	 15.66	  134.234	  1.0  	Pismis_11
