pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1535	-0.2737	 0.0109	 1896.195	  894.21 	 1219.337	1.2  	18	 ---	334.718670567  	0.0299	 63.17754945717	0.0272	2205067687592501248	  1.0529 	0.0316	 -2.517	0.061	 -2.317	0.054	0	   813480.0 	    429.01   	10.9125	0.0006	   461910.0  	     516.56    	11.19  	0.0012	    514560.0 	    422.0     	10.4833	0.0009	 0.7067	   --- 	 --- 	6516.75	---   	---   	  4.18	   28.382	  1.0  	Pismis_Moreno_1
 0.2127	-0.3306	-0.0109	  874.434	  190.539	  306.095	1.359	19	 ---	334.78441547061	0.0316	 63.17941233992	0.0278	2205067893750935424	  1.0193 	0.0343	 -2.614	0.063	 -2.169	0.056	0	     8584.9 	      9.8177 	15.854 	0.0012	     2705.5  	      14.199   	16.7708	0.0057	      8957.2 	     29.263   	14.8815	0.0035	 1.8893	   --- 	 --- 	4141.04	---   	---   	  1.37	    0.499	  1.0  	Pismis_Moreno_1
 0.3297	-0.228 	 0.1243	 1184.197	  126.155	  314.048	1.337	18	 ---	334.8045464581 	0.0525	 63.19168195564	0.0508	2205067893750934784	  1.0793 	0.0611	 -2.64 	0.127	 -2.971	0.11 	0	     3053.3 	      2.5784 	16.9764	0.0009	     1067.5  	       8.4618  	17.7805	0.0086	      3015.3 	      9.6013  	16.0636	0.0035	 1.7169	   --- 	 --- 	4195.21	1.1033	0.579 	  0.74	    0.154	  0.7  	Pismis_Moreno_1
 0.3063	-0.2641	 0.0846	  261.834	   50.098	   92.696	1.613	17	 ---	334.77676259413	0.0876	 63.29194052986	0.0856	2205072356211632768	  0.9574 	0.1024	 -2.333	0.203	 -1.83 	0.173	0	     1420.9 	      5.4269 	17.8069	0.0041	      359.59 	       7.1777  	18.9619	0.0217	      1932.9 	     20.852   	16.5464	0.0117	 2.4155	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Pismis_Moreno_1
-0.0676	-0.1478	-0.0753	  780.52 	  131.697	  219.336	1.416	13	 ---	334.59995573421	0.0331	 63.21753759319	0.038 	2205071669018667776	  1.123  	0.0392	 -2.466	0.077	 -2.627	0.079	0	    10379.0 	     13.298  	15.6479	0.0014	     3074.3  	      23.344   	16.632 	0.0082	     11627.0 	     53.01    	14.5983	0.005 	 2.0338	   --- 	 --- 	3693.0 	2.8273	1.33  	  2.0 	    0.668	  1.0  	Pismis_Moreno_1
 0.2284	-0.209 	 0.1163	 4556.034	  718.109	 1129.978	1.205	19	 ---	334.7706914252 	0.0199	 63.07245284231	0.0184	2205054386068007168	  1.0197 	0.0204	 -2.746	0.04 	 -2.35 	0.036	0	   327500.0 	     71.884  	11.9003	0.0002	   189550.0  	     263.96    	12.1571	0.0015	    204950.0 	    181.37    	11.4828	0.001 	 0.6743	   --- 	 --- 	6373.0 	---   	---   	  2.86	   12.196	  0.9  	Pismis_Moreno_1
 0.1773	-0.2022	 0.1034	 1897.559	  291.822	  716.33 	1.275	19	 ---	334.94636682095	0.0252	 63.16992077334	0.0236	2205068374787282816	  1.1728 	0.0272	 -2.908	0.051	 -2.2  	0.046	0	    11371.0 	      5.9925 	15.5489	0.0006	     4621.0  	      15.835   	16.1896	0.0037	      9877.9 	     13.79    	14.7753	0.0015	 1.4143	   --- 	 --- 	4451.71	---   	---   	  1.1 	    0.428	  1.0  	Pismis_Moreno_1
 0.2839	-0.1382	 0.1287	  415.893	   51.091	  119.151	1.457	18	 ---	334.64886469387	0.0644	 63.20348094538	0.0644	2205070878742835200	  1.0907 	0.0732	 -2.311	0.134	 -2.09 	0.125	0	     2448.0 	      5.8862 	17.2163	0.0026	      605.42 	      11.85    	18.3963	0.0213	      2960.3 	     24.845   	16.0836	0.0091	 2.3127	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Pismis_Moreno_1
 0.2165	-0.362 	 0.0643	 4975.587	  579.467	 1059.891	1.265	19	 ---	334.49716655295	0.015 	 63.20001239107	0.015 	2205065729087168384	  1.0791 	0.0176	 -2.465	0.031	 -2.178	0.029	0	    38222.0 	      7.6819 	14.2326	0.0002	    16622.0  	      28.685   	14.7997	0.0019	     31719.0 	     29.927   	13.5086	0.001 	 1.2911	   --- 	 --- 	4950.5 	---   	---   	  1.64	    1.447	  1.0  	Pismis_Moreno_1
