pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0124	 0.2695	-0.0279	  933.08 	   98.818	  492.724	1.518	18	 ---	150.42122673546	0.0457	-62.27173680583	0.046 	5255863359749880448	  6.8225 	0.0525	-14.741	0.096	 13.608	0.091	0	     9058.8 	      9.7085 	15.7957	0.0012	     1485.3  	      15.031   	17.4219	0.011 	     12266.0 	     24.894   	14.5402	0.0022	 2.8817	   --- 	 --- 	4036.14	1.866 	0.9877	  --- 	    ---  	  1.0  	Platais_8
 0.1728	 0.0747	 0.0018	  889.035	  229.368	  313.533	1.241	16	 0.0	138.61416475818	0.0218	-60.97808101288	0.0247	5299755485956790400	  6.8297 	0.0233	-15.24 	0.046	 12.31 	0.051	1	   345400.0 	    388.51   	11.8426	0.0012	   149170.0  	     650.37    	12.4172	0.0047	    279310.0 	    890.85    	11.1467	0.0035	 1.2705	  20.51	 7.82	4858.09	0.574 	0.281 	  0.82	    0.334	  1.0  	Platais_8
 0.0065	 0.2611	-0.0684	 1095.775	   57.364	  317.452	1.615	17	 ---	137.33218946378	0.0787	-60.57285841796	0.0769	5299749954038420992	  6.8492 	0.0842	-13.598	0.173	 12.921	0.148	0	     3327.3 	      3.0365 	16.8831	0.001 	      366.0  	       6.3803  	18.9427	0.0189	      5007.6 	     15.774   	15.5129	0.0034	 3.4298	   --- 	 --- 	4038.42	---   	---   	  --- 	    ---  	  1.0  	Platais_8
 0.1792	 0.1838	 0.0292	 5445.542	 1219.522	 1149.087	1.179	17	 0.0	134.53380643879	0.0237	-61.31580882116	0.0234	5298418823411432960	  6.8628 	0.0239	-13.59 	0.051	 15.641	0.046	0	  4939700.0 	    907.1    	 8.9541	0.0002	  2849800.0  	    2336.8     	 9.2144	0.0009	   2973700.0 	   2587.9     	 8.5787	0.0009	 0.6357	  19.66	 0.49	6284.0 	0.787 	0.382 	  1.7 	    4.066	  0.9  	Platais_8
-0.0362	 0.2938	 0.0621	 1055.544	   96.674	  405.733	1.53 	15	 ---	146.70388571092	0.0509	-64.13800480194	0.0483	5249602740526864512	  6.8724 	0.0508	-13.272	0.101	 14.511	0.087	0	     6891.8 	      6.5292 	16.0925	0.001 	     1012.5  	      10.473   	17.8379	0.0112	      9531.2 	     23.491   	14.814 	0.0027	 3.0239	   --- 	 --- 	4162.12	---   	---   	  --- 	    ---  	  0.9  	Platais_8
 0.0407	 0.2123	 0.0074	  438.999	   75.175	  206.863	1.497	18	 ---	149.26721263026	0.0456	-63.72464111839	0.0441	5249665309613240576	  6.8806 	0.0495	-14.317	0.091	 13.987	0.085	0	    11573.0 	     26.362  	15.5298	0.0025	     2035.3  	      27.074   	17.0798	0.0144	     15295.0 	     73.936   	14.3006	0.0052	 2.7792	   --- 	 --- 	4038.51	---   	---   	  --- 	    ---  	  1.0  	Platais_8
 0.3036	 0.139 	-0.1101	  698.606	   20.895	  245.367	1.601	15	 ---	147.65953462505	0.0809	-63.88815598046	0.0883	5249622394298243328	  6.8819 	0.091 	-13.842	0.191	 14.741	0.176	0	     2581.1 	      3.6946 	17.1589	0.0016	      311.34 	      14.9     	19.1183	0.052 	      3820.4 	     15.57    	15.8067	0.0044	 3.3117	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Platais_8
 0.0671	 0.1095	-0.0093	 3084.351	  761.164	  480.149	1.154	15	 ---	130.44395852679	0.0592	-53.06242538711	0.0638	5318498001679049728	  6.9514 	0.062 	-15.895	0.122	 17.256	0.131	1	 18840000.0 	   6108.2    	 7.5007	0.0004	 12096000.0  	   15891.0     	 7.6448	0.0014	   9651700.0 	  20101.0     	 7.3004	0.0023	 0.3444	   --- 	 --- 	7422.67	---   	---   	  2.37	   15.329	  0.9  	Platais_8
-0.0529	-0.0694	 0.1211	  705.085	   31.946	  372.654	1.642	14	 ---	149.06048524787	0.1249	-62.07053716077	0.1358	5256026774659598848	  6.9611 	0.1449	-13.64 	0.324	 15.337	0.309	0	     3139.2 	      4.4522 	16.9463	0.0015	      340.13 	      10.647   	19.0223	0.034 	      4815.5 	     12.922   	15.5553	0.0029	 3.467 	   --- 	 --- 	3668.07	---   	---   	  --- 	    ---  	  0.9  	Platais_8
