pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0655	-0.2616	 0.1488	  722.153	   31.998	  118.111	1.523	18	 ---	345.23247321074	0.0934	 60.61838806025	0.0895	2014475387087357824	  2.2556 	0.115 	  4.862	0.196	 -1.723	0.176	0	     1239.2 	      1.716  	17.9555	0.0015	      250.54 	       7.8297  	19.3542	0.0339	      1636.6 	     13.856   	16.7271	0.0092	 2.6271	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	RSG_8
 0.1039	-0.3106	 0.2781	  713.203	   34.072	  178.49 	1.528	18	 ---	345.67917354967	0.109 	 60.66865512863	0.1103	2014487992818298112	  2.2356 	0.1431	  5.377	0.226	 -2.113	0.198	0	     1192.4 	      1.6718 	17.9973	0.0015	      206.84 	       6.0708  	19.5623	0.0319	      1615.5 	      9.051   	16.7411	0.0061	 2.8211	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	RSG_8
 0.1387	-0.1679	 0.1607	  844.996	  120.809	  261.11 	1.388	19	 ---	345.50761587054	0.0504	 60.68377576532	0.055 	2014487516081746176	  2.3024 	0.0637	  5.073	0.11 	 -2.055	0.101	0	     3202.8 	      3.7903 	16.9245	0.0013	      820.31 	       6.7901  	18.0664	0.009 	      3626.2 	     13.888   	15.8633	0.0042	 2.2032	   --- 	 --- 	3677.44	---   	---   	  0.55	    0.05 	  0.9  	RSG_8
-0.0266	-0.2841	 0.171 	 2547.427	  651.312	  974.048	1.246	18	 ---	344.44311226211	0.0568	 60.49025649439	0.0561	2014470095693695744	  2.1774 	0.0712	  4.472	0.114	 -1.868	0.102	0	    62938.0 	     24.706  	13.6911	0.0004	    28423.0  	      43.639   	14.2172	0.0017	     49974.0 	     51.306   	13.0151	0.0011	 1.2022	   --- 	 --- 	4893.0 	0.856 	0.422 	  1.07	    0.593	  0.6  	RSG_8
-0.0369	-0.2567	 0.1027	 1312.466	  294.437	  426.341	1.294	18	 ---	345.17778484809	0.0243	 60.41426845742	0.0259	2014458275943873792	  2.3194 	0.0292	  4.69 	0.047	 -2.107	0.048	0	    12821.0 	      9.7689 	15.4185	0.0008	     4677.3  	      15.886   	16.1764	0.0037	     11917.0 	     27.952   	14.5715	0.0025	 1.6049	   --- 	 --- 	4393.25	---   	---   	  0.61	    0.126	  1.0  	RSG_8
 0.2118	-0.1475	 0.0496	  720.896	   32.108	  192.98 	1.523	18	 ---	346.12847353962	0.0893	 60.81417867501	0.0879	2014493524732633472	  2.5018 	0.1062	  4.909	0.205	 -1.97 	0.184	0	     1302.6 	      1.8069 	17.9014	0.0015	      225.85 	       7.0339  	19.4669	0.0338	      1758.3 	      9.1115  	16.6492	0.0056	 2.8177	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	RSG_8
-0.0396	-0.3255	 0.0176	  678.772	   33.153	  284.931	1.469	17	 ---	344.68504408453	0.0792	 60.58876109916	0.0828	2014472294717183872	  2.437  	0.1036	  5.031	0.158	 -1.929	0.148	0	     1700.4 	      2.5051 	17.612 	0.0016	      372.9  	      11.248   	18.9224	0.0327	      2124.9 	      7.4574  	16.4436	0.0038	 2.4788	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	RSG_8
-0.0526	-0.1886	 0.1544	 1915.932	  414.572	  417.481	1.271	18	 ---	344.49087437515	0.0203	 60.35543983753	0.0178	2014464563775893504	  2.3419 	0.0224	  4.804	0.041	 -2.095	0.034	0	    19774.0 	     10.321  	14.9481	0.0006	     7865.7  	      18.973   	15.612 	0.0026	     17261.0 	     41.346   	14.1692	0.0026	 1.4428	   --- 	 --- 	4569.51	0.2183	0.1058	  0.67	    0.178	  1.0  	RSG_8
-0.0064	-0.3395	 0.1316	 2413.585	  509.909	  580.993	1.255	18	 ---	344.91048274821	0.0135	 60.58082537755	0.0142	2014474425020769024	  2.4699 	0.0175	  4.687	0.029	 -2.031	0.026	0	    58656.0 	     24.303  	13.7676	0.0004	    24974.0  	      48.978   	14.3577	0.0021	     48637.0 	     83.714   	13.0445	0.0019	 1.3132	   --- 	 --- 	4888.97	---   	---   	  0.91	    0.43 	  1.0  	RSG_8
