pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.4515	 0.0321	 0.0326	  835.771	   35.29 	  164.986	1.641	 8	 ---	276.34220879252	0.1077	-10.23947869381	0.0987	4154288841998938624	  0.4656 	0.0989	  0.519	0.229	  0.075	0.226	0	     3842.2 	      4.5971 	16.7269	0.0013	      504.53 	      14.297   	18.5942	0.0308	      5801.9 	     35.166   	15.353 	0.0066	 3.2412	   --- 	 --- 	4328.04	2.8643	1.4445	  --- 	    ---  	  0.5  	Ruprecht_170
 0.4042	-0.1815	 0.2838	  789.14 	   51.13 	  202.142	1.326	 9	 ---	276.3579491465 	0.0983	-10.23071121674	0.0883	4154288872040532352	  0.5437 	0.1003	  0.75 	0.194	  0.377	0.201	0	     3487.0 	      4.4188 	16.8322	0.0014	     1279.7  	      25.028   	17.5836	0.0212	      3343.5 	     16.54    	15.9514	0.0054	 1.6322	   --- 	 --- 	4288.0 	---   	---   	  --- 	    ---  	  0.2  	Ruprecht_170
 0.0343	 0.0391	 0.1295	 1235.512	  136.447	  142.475	1.333	 9	 ---	276.13459960244	0.0776	-10.13809670482	0.071 	4154481737561688320	  0.5839 	0.0841	 -0.1  	0.172	  0.152	0.164	0	     3877.9 	      3.1387 	16.7169	0.0009	     1487.4  	      10.901   	17.4203	0.008 	      3682.0 	     25.843   	15.8467	0.0076	 1.5736	   --- 	 --- 	4358.0 	---   	---   	  1.37	    0.613	  0.1  	Ruprecht_170
 0.3105	-0.0448	 0.1339	  502.663	   10.2  	  103.01 	1.727	11	 ---	276.26341268965	0.1511	-10.20003284284	0.1417	4154476961557941120	  0.2857 	0.1571	  1.185	0.318	 -0.05 	0.291	0	     1577.7 	      3.1387 	17.6933	0.0022	      176.41 	      17.294   	19.7351	0.1064	      2548.2 	     24.738   	16.2463	0.0105	 3.4888	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Ruprecht_170
-0.1315	-0.2166	 0.1539	 3582.574	  448.016	  597.42 	1.306	11	 ---	276.13354775607	0.0296	-10.09854069501	0.0289	4154482424756476288	  0.4502 	0.0336	  0.362	0.058	 -1.195	0.049	0	    34059.0 	      9.5068 	14.3578	0.0003	    12617.0  	      28.162   	15.099 	0.0024	     31878.0 	     53.36    	13.5032	0.0018	 1.5958	   --- 	 --- 	4264.37	---   	---   	  5.64	    9.486	  0.2  	Ruprecht_170
 0.2158	 0.1252	 0.2075	 1071.957	  142.75 	  240.012	1.316	 9	 ---	276.19016962901	0.0607	-10.18367538442	0.0555	4154477683112499968	  0.518  	0.066 	  0.386	0.145	  0.544	0.141	0	     5817.0 	      5.4265 	16.2766	0.001 	     2117.9  	      14.836   	17.0366	0.0076	      5535.3 	     23.062   	15.4041	0.0045	 1.6326	   --- 	 --- 	4321.25	---   	---   	  1.95	    1.189	  0.3  	Ruprecht_170
-0.4444	 0.2527	-0.1407	 1944.062	  366.103	 1062.265	1.316	 9	 ---	276.14713071961	0.0374	-10.21498640955	0.0351	4154476033845063936	  0.5325 	0.0426	 -0.139	0.102	 -0.71 	0.078	0	    29965.0 	     15.413  	14.4968	0.0006	    11633.0  	      31.774   	15.1872	0.003 	     27793.0 	     26.164   	13.6521	0.001 	 1.5351	   --- 	 --- 	4370.67	2.3332	1.1723	  4.15	    5.663	  0.1  	Ruprecht_170
-0.019 	 0.0268	 0.1425	  555.492	   30.211	  131.48 	1.413	 9	 ---	276.17147124205	0.0924	-10.18957439835	0.081 	4154477580033292288	  0.5832 	0.0982	 -0.061	0.203	  0.043	0.17 	0	     3004.1 	      5.4079 	16.9941	0.002 	     1047.2  	      34.665   	17.8013	0.0359	      3197.3 	     24.318   	16.0   	0.0083	 1.8013	   --- 	 --- 	4100.0 	1.9415	0.9547	  --- 	    ---  	  0.2  	Ruprecht_170
 0.1786	 0.0175	 0.1625	  583.756	   30.242	   94.599	1.488	11	 ---	276.22060156037	0.1419	-10.18778226183	0.134 	4154477438284599168	  0.3743 	0.1596	 -0.152	0.308	  0.193	0.274	0	     1339.4 	      2.2944 	17.8711	0.0019	      346.69 	      11.464   	19.0015	0.0359	      1646.4 	     17.404   	16.7206	0.0115	 2.281 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Ruprecht_170
