pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.116 	 0.0209	 0.1806	  787.668	   51.175	  122.018	1.387	16	 ---	 45.24565461012	0.0964	 60.54500296246	0.0937	 463122234721127168	  0.4251 	0.1287	  0.118	0.149	  0.738	0.203	0	     1284.1 	      1.6303 	17.9169	0.0014	      456.44 	       8.9193  	18.7029	0.0212	      1324.8 	     10.857   	16.9566	0.0089	 1.7464	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	SAI_24
 0.2474	-0.0711	-0.0617	 4110.858	  737.677	  964.867	1.263	15	 ---	 45.19219886007	0.0156	 60.52185740426	0.0165	 463122307738773888	  0.4395 	0.0206	  0.208	0.024	 -0.013	0.039	0	    56962.0 	     13.857  	13.7994	0.0003	    26302.0  	      35.655   	14.3014	0.0015	     45655.0 	     47.317   	13.1132	0.0011	 1.1882	   --- 	 --- 	4867.96	---   	---   	  5.12	   13.265	  0.4  	SAI_24
 0.1146	 0.0982	 0.1059	 1474.605	   96.127	  267.274	1.329	15	 ---	 45.22461443321	0.0722	 60.50475498321	0.0675	 463122028562042112	  0.3761 	0.0958	  0.186	0.113	 -0.333	0.148	0	     2334.7 	      1.5833 	17.2678	0.0007	      838.95 	       8.7275  	18.042 	0.0113	      2263.9 	      8.4702  	16.3748	0.0041	 1.6673	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	SAI_24
 0.0732	 0.1198	 0.1604	  190.649	   34.284	   74.165	1.515	15	 ---	 45.23830158036	0.1032	 60.54522454815	0.0864	 463122234721131520	  0.3196 	0.1273	 -0.157	0.156	  0.142	0.19 	0	     1484.5 	      7.7865 	17.7594	0.0057	      409.31 	      11.939   	18.8212	0.0317	      1839.8 	     24.806   	16.6   	0.0146	 2.2212	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	SAI_24
 0.1746	-0.0233	 0.1838	 1755.51 	  189.972	  510.291	1.315	16	 ---	 45.20131151467	0.0421	 60.49878707909	0.0439	 463122067220210688	  0.4409 	0.06  	 -0.928	0.065	  0.204	0.098	0	     4729.9 	      2.6943 	16.5012	0.0006	     1776.7  	       9.3523  	17.2274	0.0057	      4443.5 	      8.7077  	15.6426	0.0021	 1.5848	   --- 	 --- 	4359.76	---   	---   	  2.01	    1.311	  0.2  	SAI_24
 0.2112	-0.0264	 0.0201	  808.512	   84.452	  249.938	1.4  	16	 ---	 45.17242167654	0.0629	 60.52648742277	0.0636	 463122342098113408	  0.413  	0.086 	  0.632	0.103	 -0.023	0.154	0	     2899.0 	      3.5855 	17.0328	0.0013	      861.09 	      10.196   	18.0138	0.0129	      3197.9 	     12.795   	15.9998	0.0043	 2.014 	   --- 	 --- 	3933.15	2.2462	1.0868	  --- 	    ---  	  0.1  	SAI_24
 0.2857	 0.0331	 0.0888	 1784.08 	  175.815	  301.646	1.329	16	 ---	 45.11742927345	0.0546	 60.44361591018	0.0479	 463120039995664000	  0.3378 	0.0643	  0.157	0.084	 -0.375	0.113	0	     3435.0 	      1.9254 	16.8485	0.0006	     1362.7  	       7.751   	17.5154	0.0062	      3202.6 	     10.617   	15.9982	0.0036	 1.5172	   --- 	 --- 	4407.5 	---   	---   	  --- 	    ---  	  0.1  	SAI_24
 0.2865	-0.0337	 0.0725	 2747.85 	  656.605	  552.576	1.231	16	 ---	 45.01608041001	0.0173	 60.44386752549	0.0161	 463120143074883840	  0.4414 	0.021 	 -0.015	0.026	 -0.151	0.038	0	    43327.0 	     15.768  	14.0965	0.0004	    23256.0  	      35.419   	14.435 	0.0017	     30094.0 	     54.462   	13.5657	0.002 	 0.8693	   --- 	 --- 	5745.0 	---   	---   	  2.99	    8.801	  0.3  	SAI_24
 0.2707	-0.1567	-0.0796	  847.319	  126.243	  303.265	1.378	15	 ---	 45.11581949163	0.0503	 60.51195073987	0.0547	 463120825975837568	  0.4171 	0.0727	 -0.14 	0.08 	  0.262	0.125	0	     4154.9 	      4.9036 	16.642 	0.0013	     1323.7  	      10.485   	17.5469	0.0086	      4401.7 	     14.514   	15.6529	0.0036	 1.894 	   --- 	 --- 	3938.21	2.5253	1.228 	  --- 	    ---  	  0.7  	SAI_24
