pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.3191	 0.2163	 0.1324	  539.621	   46.395	  188.114	1.485	11	 ---	 84.78724850993	0.0786	 -2.95138007312	0.0785	3216042722080823040	  2.437  	0.0928	  1.204	0.152	 -0.258	0.136	0	     6041.8 	     11.196  	16.2355	0.002 	     1071.0  	      23.085   	17.7769	0.0234	      7900.6 	     41.999   	15.0178	0.0058	 2.7591	   --- 	 --- 	4071.97	1.2925	0.618 	  0.51	    0.064	  1.0  	Sigma_Ori
-0.1096	 0.0845	 0.1229	  665.559	  141.429	  316.705	1.435	11	 ---	 84.65343714184	0.0575	 -2.94958099557	0.055 	3216049177416721920	  2.5196 	0.066 	  1.423	0.112	 -1.362	0.103	0	    12678.0 	     19.049  	15.4307	0.0016	     2765.1  	      19.551   	16.7471	0.0077	     15424.0 	     48.7     	14.2915	0.0034	 2.4557	   --- 	 --- 	3374.0 	---   	---   	  1.33	    0.207	  1.0  	Sigma_Ori
-0.067 	 0.2098	 0.2441	  317.379	   68.372	  123.89 	1.421	11	 ---	 84.54601359806	0.0463	 -2.93386868286	0.0452	3216052136649173248	  2.5014 	0.0565	  1.056	0.086	 -1.554	0.08 	0	    21532.0 	     67.841  	14.8557	0.0034	     4856.0  	      71.023   	16.1357	0.0159	     25748.0 	    207.83    	13.735 	0.0088	 2.4006	   --- 	 --- 	3703.0 	2.878 	1.425 	  1.28	    0.277	  1.0  	Sigma_Ori
-0.2638	 0.2465	 0.057 	  653.199	  162.699	  184.636	1.467	10	 ---	 84.57858397408	0.0599	 -2.86082399369	0.0616	3216053609823043968	  2.5495 	0.0691	  1.614	0.115	 -1.457	0.106	0	    10156.0 	     15.549  	15.6715	0.0017	     2008.5  	      12.345   	17.0942	0.0067	     12888.0 	     69.802   	14.4865	0.0059	 2.6077	   --- 	 --- 	3454.5 	---   	---   	  1.09	    0.152	  1.0  	Sigma_Ori
-0.2777	 0.1889	 0.1057	  690.165	   34.546	  244.437	1.579	11	 ---	 84.68232202475	0.112 	 -2.87855728644	0.1053	3216055533968380672	  2.4645 	0.1232	  1.037	0.215	 -1.192	0.189	0	     5331.3 	      7.7247 	16.3713	0.0016	      660.15 	      19.109   	18.3023	0.0314	      7758.6 	     31.741   	15.0375	0.0044	 3.2648	   --- 	 --- 	4066.57	1.472 	0.832 	  --- 	    ---  	  1.0  	Sigma_Ori
-0.2369	 0.2205	 0.1447	  608.773	   76.953	  206.67 	1.581	11	 ---	 84.65604633335	0.0989	 -2.83991234233	0.0968	3216059214755240320	  2.6199 	0.1175	  1.481	0.19 	 -0.906	0.167	0	     6365.2 	     10.456  	16.1788	0.0018	      814.69 	      10.587   	18.0739	0.0141	      9251.1 	     44.763   	14.8464	0.0053	 3.2275	   --- 	 --- 	4063.99	1.4735	0.832 	  --- 	    ---  	  1.0  	Sigma_Ori
-0.6485	 0.4875	-0.2569	  172.622	   46.881	   66.279	1.26 	10	-1.5	 84.72545036571	0.0539	 -2.82495089791	0.0516	3216060520425284096	  2.3707 	0.0468	  1.091	0.102	 -0.552	0.092	0	   165830.0 	    960.66   	12.6392	0.0063	    69712.0  	    1487.0     	13.2431	0.0232	    139250.0 	   2101.0     	11.9024	0.0164	 1.3407	 -32.15	 5.72	4994.91	---   	---   	  1.52	    1.288	  1.0  	Sigma_Ori
-0.382 	 0.2443	-0.0327	  153.832	   35.214	   46.567	1.308	10	 ---	 84.71671177771	0.031 	 -2.77881575777	0.0271	3216061001461614976	  2.4709 	0.0296	  1.63 	0.063	 -1.011	0.052	0	    57052.0 	    370.87   	13.7977	0.0071	    18925.0  	     537.41    	14.6588	0.0308	     55718.0 	   1196.5     	12.8969	0.0233	 1.7619	   --- 	 --- 	4184.48	1.7105	0.846 	  1.41	    0.551	  1.0  	Sigma_Ori
-0.2405	 0.25  	-0.073 	   93.432	   21.933	   33.216	1.478	 9	 ---	 84.66263690648	0.0805	 -2.75895162787	0.0719	3216061997894032000	  2.3346 	0.0822	  1.155	0.149	 -0.454	0.123	0	     8733.4 	     93.474  	15.8354	0.0116	     1885.5  	      85.968   	17.1628	0.0495	     11020.0 	    331.77    	14.6565	0.0327	 2.5063	   --- 	 --- 	3668.98	1.917 	0.962 	  0.9 	    0.132	  1.0  	Sigma_Ori
