pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1998	-0.1004	 0.3156	 1243.448	   82.329	  181.682	1.29 	16	 ---	175.76252705572	0.0521	-62.33569500913	0.0533	5333373054001971968	  0.3666 	0.0679	 -5.649	0.124	  0.742	0.109	0	     3194.9 	      2.5694 	16.9272	0.0009	     1412.0  	      17.151   	17.4768	0.0132	      2709.1 	     14.911   	16.1798	0.006 	 1.2969	   --- 	 --- 	4855.12	1.4445	0.768 	  --- 	    ---  	  0.1  	Stock_14
 0.2466	 0.2547	 0.1497	 2544.792	  190.692	  366.537	1.225	16	 ---	175.87594861876	0.0293	-62.66629067107	0.0332	5333332367739851008	  0.3953 	0.0375	 -6.963	0.055	  1.051	0.057	0	     9741.4 	      3.828  	15.7168	0.0004	     4954.0  	      25.979   	16.114 	0.0057	      6983.8 	     19.053   	15.1517	0.003 	 0.9623	   --- 	 --- 	5643.58	---   	---   	  1.65	    2.486	  0.2  	Stock_14
 0.1702	 0.1824	 0.1138	  891.377	   26.725	   14.026	1.736	18	 ---	175.93156490094	0.0614	-62.70081774713	0.0614	5333331581804963456	  0.2882 	0.0741	 -6.793	0.117	  0.951	0.123	0	     2858.8 	      3.2072 	17.0479	0.0012	     1555.5  	      58.204   	17.3717	0.0406	      3406.5 	    242.87    	15.9311	0.0774	 1.4406	   --- 	 --- 	4993.0 	---   	---   	  --- 	    ---  	  0.1  	Stock_14
 0.1763	 0.2514	 0.2202	 1092.127	   59.358	   66.143	1.38 	18	 ---	175.97341341172	0.0633	-62.68893621688	0.0547	5333331440032350976	  0.367  	0.0714	 -6.521	0.114	  0.762	0.098	0	     2617.4 	      2.3966 	17.1437	0.001 	     1300.0  	      21.901   	17.5665	0.0183	      2312.4 	     34.96    	16.3518	0.0164	 1.2148	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Stock_14
 0.1134	 0.2624	 0.2139	 1009.921	   40.396	  103.122	1.45 	19	 ---	175.95602007343	0.0579	-62.70744478798	0.0528	5333331513085481728	  0.4571 	0.0702	 -6.7  	0.107	  0.983	0.097	0	     2759.8 	      2.7326 	17.0862	0.0011	     1088.9  	      26.955   	17.7589	0.0269	      2913.5 	     28.253   	16.1009	0.0105	 1.6581	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Stock_14
 0.1472	 0.12  	 0.148 	  538.598	   84.428	  160.134	1.29 	17	 ---	175.89957310012	0.0542	-62.65877780587	0.0528	5333332505178826752	  0.393  	0.0627	 -6.423	0.108	  0.645	0.099	0	     3077.1 	      5.7132 	16.968 	0.002 	     1247.3  	      14.773   	17.6115	0.0129	      2723.4 	     17.007   	16.1741	0.0068	 1.4374	   --- 	 --- 	4394.75	---   	---   	  --- 	    ---  	  0.5  	Stock_14
 0.1722	 0.3979	 0.2776	  497.056	   28.419	   70.995	1.632	17	 ---	176.07642451298	0.1095	-62.64238750452	0.0995	5333330516630258688	  0.3929 	0.1275	 -5.65 	0.201	  0.3  	0.183	0	     1445.6 	      2.9082 	17.7883	0.0022	      779.03 	      27.412   	18.1225	0.0382	      1580.2 	     22.258   	16.7651	0.0153	 1.3574	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Stock_14
 0.2541	 0.2742	 0.1681	  660.24 	   73.213	  134.292	1.311	17	 ---	175.78984575654	0.0625	-62.68928005814	0.0654	5333332097201252736	  0.3791 	0.0752	 -6.945	0.118	  0.485	0.124	0	     2355.6 	      3.5678 	17.2581	0.0016	     1106.2  	      15.109   	17.7418	0.0148	      1982.1 	     14.759   	16.5191	0.0081	 1.2227	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Stock_14
 0.2395	 0.257 	 0.1776	  995.885	   56.673	   76.653	1.301	17	 ---	175.81346574293	0.0781	-62.6648525133 	0.0805	5333332612576034048	  0.4062 	0.093 	 -6.219	0.149	  1.255	0.152	0	     1580.0 	      1.5865 	17.6917	0.0011	      680.29 	      12.004   	18.2697	0.0192	      1375.8 	     17.948   	16.9156	0.0142	 1.3541	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Stock_14
