pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0059	-0.2688	 0.3238	  682.444	   49.192	  108.377	1.478	13	 ---	306.92157464947	0.0789	 36.07753172411	0.1258	2057617298488254336	  0.5348 	0.1472	 -3.291	0.175	 -6.063	0.245	0	     1398.9 	      2.0498 	17.8239	0.0016	      351.22 	       7.1399  	18.9874	0.0221	      1716.7 	     15.84    	16.6752	0.01  	 2.3123	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Teutsch_30
-0.0728	-0.2208	 0.1371	 1695.857	  178.037	  426.347	1.408	15	 ---	306.86679886641	0.0379	 36.12404375125	0.0499	2057618432359627776	  0.4209 	0.0579	 -2.698	0.082	 -5.326	0.087	0	     5579.2 	      3.2899 	16.3219	0.0006	     1506.5  	       8.4616  	17.4065	0.0061	      6351.2 	     14.897   	15.2548	0.0025	 2.1517	   --- 	 --- 	3882.54	2.415 	1.2565	  3.31	    2.243	  0.1  	Teutsch_30
-0.1086	-0.2685	 0.1215	 1278.562	   61.924	  271.565	1.417	15	 ---	306.91415927759	0.0513	 36.0657504257 	0.069 	2057617268430707072	  0.6509 	0.0797	 -3.304	0.113	 -5.815	0.122	0	     2688.9 	      2.1031 	17.1144	0.0008	      695.01 	      11.224   	18.2464	0.0175	      3115.5 	     11.472   	16.0281	0.004 	 2.2183	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Teutsch_30
-0.0538	-0.1348	 0.1366	 1139.601	   95.387	  235.815	1.401	15	 ---	306.93076309898	0.0491	 36.08193313352	0.0603	2057617302790443904	  0.542  	0.0699	 -3.427	0.115	 -5.73 	0.106	0	     3735.7 	      3.278  	16.7574	0.001 	     1115.1  	      11.691   	17.7331	0.0114	      4119.3 	     17.468   	15.7249	0.0046	 2.0082	   --- 	 --- 	4001.5 	2.3963	1.2013	  1.91	    0.839	  0.9  	Teutsch_30
-0.1804	-0.4205	 0.1859	 3136.887	  286.843	  783.17 	1.338	15	 ---	306.92907155528	0.0263	 36.07897979841	0.0269	2057617302790443648	  0.6296 	0.035 	 -3.239	0.054	 -5.679	0.05 	0	    17376.0 	      5.5392 	15.0885	0.0003	     6222.9  	      21.695   	15.8664	0.0038	     17031.0 	     21.746   	14.1838	0.0014	 1.6826	   --- 	 --- 	4248.0 	---   	---   	  2.92	    2.496	  1.0  	Teutsch_30
-0.098 	-0.2649	 0.246 	 1769.534	   95.541	  379.362	1.381	15	 ---	306.92308381475	0.0325	 36.07158392101	0.0454	2057617302790443520	  0.5053 	0.0507	 -3.179	0.072	 -5.727	0.091	0	     6757.8 	      3.819  	16.1138	0.0006	     2223.1  	      23.269   	16.984 	0.0114	      7110.9 	     18.744   	15.1321	0.0029	 1.8519	   --- 	 --- 	4015.04	---   	---   	  2.72	    1.73 	  0.9  	Teutsch_30
-0.0427	-0.2688	 0.1605	 2057.631	  313.398	  614.962	1.336	15	 ---	306.90399593973	0.0289	 36.17194437764	0.0406	2057618986417657856	  0.531  	0.0459	 -3.67 	0.065	 -5.856	0.073	0	     6438.0 	      3.1288 	16.1665	0.0005	     2178.1  	       6.95    	17.0062	0.0035	      6424.4 	     10.447   	15.2423	0.0018	 1.7639	   --- 	 --- 	4063.75	2.1602	1.0302	  2.43	    1.446	  0.6  	Teutsch_30
-0.1165	-0.3001	 0.052 	  821.075	   22.671	  173.829	1.414	15	 ---	306.96333983734	0.076 	 36.11559523053	0.1117	2057617818186517760	  0.4328 	0.1251	 -3.436	0.17 	 -6.613	0.197	0	     1509.2 	      1.8381 	17.7415	0.0013	      404.09 	      17.824   	18.8352	0.0479	      1729.2 	      9.9478  	16.6673	0.0062	 2.1679	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Teutsch_30
-0.1889	-0.1572	 0.0072	 1602.09 	  682.344	  611.953	1.3  	15	 0.0	306.92852420869	0.022 	 36.07365237934	0.0298	2057617302790441984	  0.5185 	0.0331	 -3.091	0.047	 -5.516	0.053	0	  2897200.0 	   1808.4    	 9.5334	0.0007	  1036300.0  	    1518.8     	10.3127	0.0016	   2730400.0 	   4461.8     	 8.6713	0.0018	 1.6413	  94.08	14.03	4238.5 	---   	---   	 46.06	  616.758	  0.8  	Teutsch_30
