pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.2043	 0.0797	 0.0962	  327.907000000	    71.937000000	  140.077000000	1.463	12	 83.84855997034	0.0403	 -5.87480757734	0.0406	3017191401338765312	  2.5319 	0.0511	  1.485	0.096	  0.791	0.086	0	    13780.00000	     42.02400	15.340200	0.003300	     3797.89990	     52.79600 	16.402500	0.015100	    16363.00000	    116.82000	14.227200	0.007800	 2.1753	       	     	3626.2 	      	      	  1.08	    0.183	1.00
-0.2200	 0.0554	 0.0551	  144.639000000	    31.865000000	   48.665000000	1.373	12	 83.87599911698	0.0200	 -5.85471594182	0.0210	3017191543073275008	  2.6397 	0.0265	  1.110	0.050	  0.436	0.045	0	    32394.00000	    223.96001	14.412200	0.007500	    10479.00000	    328.85999 	15.300600	0.034100	    33988.00000	    698.40002	13.433600	0.022300	 1.8670	       	     	3919.0 	      	      	  1.23	    0.323	1.00
-0.2225	 0.2639	 0.1931	  525.931000000	   156.565000000	  228.005000000	1.260	12	 83.81201823473	0.0283	 -5.86175501536	0.0325	3017191641854553856	  2.5844 	0.0414	  1.128	0.063	  0.517	0.062	0	   250850.00000	    476.97000	12.189800	0.002100	   107520.00000	    686.71997 	12.772700	0.006900	   208590.00000	    914.84998	11.463700	0.004800	 1.3090	       	     	5007.4 	      	      	  1.70	    1.635	1.00
-0.2995	 0.3273	-0.0281	  247.155000000	    62.248000000	   82.390000000	1.333	12	 83.80850442161	0.0171	 -5.86917883603	0.0183	3017191646152505088	  2.5736 	0.0227	  1.427	0.040	  0.620	0.038	0	    52340.00000	    211.77000	13.891300	0.004400	    19288.00000	    309.87000 	14.638100	0.017400	    50460.00000	    612.45001	13.004600	0.013200	 1.6336	       	     	4224.9 	      	      	  1.26	    0.456	1.00
-0.2896	 0.1789	 0.0995	 4501.447000000	   863.377000000	 1341.027000000	1.179	12	 83.85580002508	0.0262	 -5.85242497655	0.0280	3017191749231706752	  2.5278 	0.0350	 -0.988	0.061	  0.123	0.059	0	  2666900.00000	    592.44000	 9.623400	0.000200	  1590800.00000	   1842.50000 	 9.847400	0.001300	  1552100.00000	   1157.40002	 9.284600	0.000800	 0.5627	  28.36	 1.78	6600.5 	      	      	  3.07	   16.143	0.00
-0.4707	 0.1050	 0.0524	  646.559000000	    27.575000000	  196.392000000	1.657	11	 84.07208332088	0.0919	 -5.79966900679	0.0948	3017195666241847040	  2.5301 	0.1320	  0.734	0.255	  1.075	0.215	0	     1794.09998	      2.77480	17.553800	0.001700	      342.13000	     12.40800 	19.015900	0.039400	     2631.19995	     13.39800	16.211500	0.005500	 2.8044	       	     	       	      	      	      	         	0.99
-0.4204	 0.0592	 0.1033	  433.089000000	   109.380000000	   95.892000000	1.314	11	 84.11386182856	0.0213	 -5.77845797972	0.0222	3017196112918434560	  2.6435 	0.0312	  1.174	0.058	  0.789	0.050	0	    48913.00000	    112.94000	13.964800	0.002500	    17188.00000	    157.14000 	14.763300	0.009900	    47092.00000	    491.09000	13.079600	0.011300	 1.6838	       	     	4254.2 	      	      	  1.16	    0.397	1.00
-0.4770	 0.1394	 0.1105	  693.650000000	    72.458000000	   72.103000000	1.487	11	 84.12327575098	0.0723	 -5.76547947269	0.0756	3017196147278167040	  1.0888 	0.1104	  1.114	0.196	 -5.883	0.169	0	     2772.69995	      3.99720	17.081100	0.001600	      803.12000	     11.08400 	18.089400	0.015000	     3318.69995	     46.02700	15.959500	0.015100	 2.1299	       	     	       	      	      	      	         	0.00
-0.4111	-0.0777	 0.1418	 1337.198000000	   489.571000000	  892.704000000	1.160	11	 84.12173099035	0.0368	 -5.77019374584	0.0380	3017196147278170240	  4.9450 	0.0518	-11.535	0.102	-12.929	0.091	1	  7039300.00000	   5264.20020	 8.569500	0.000800	  4459200.00000	   9108.40039 	 8.728200	0.002200	  3707600.00000	   4153.29980	 8.339200	0.001200	 0.3891	       	     	7281.0 	0.8567	0.4407	  2.11	   11.256	0.00
-0.3935	 0.2037	 0.0467	  609.555000000	    61.704000000	  261.961000000	1.534	12	 83.93414109759	0.0577	 -5.83463667002	0.0588	3017196765753498880	  2.6651 	0.0745	  1.295	0.139	  0.310	0.124	0	     6659.20020	     10.92500	16.129800	0.001800	     1476.50000	     23.92800 	17.428300	0.017600	     8740.29980	     33.36500	14.908100	0.004100	 2.5202	       	     	3638.1 	      	      	  0.71	    0.079	1.00
