pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1156	 0.1162	 0.1307	  436.816	   97.182	  108.143	1.511	17	 ---	161.09198291128	0.0551	-59.31735032655	0.0497	5350396277131933312	  0.3003 	0.0606	 -6.136	0.112	  2.277	0.099	0	     3254.9 	      7.4514 	16.907 	0.0025	     1566.9  	      16.123   	17.3638	0.0112	      3350.6 	     30.983   	15.9491	0.01  	 1.4147	   --- 	 --- 	4450.48	---   	---   	  --- 	    ---  	  0.2  	Trumpler_15
-0.027 	 0.2782	 0.1429	 3044.988	  528.294	  428.936	1.281	19	 ---	161.18230514061	0.0193	-59.3671463353 	0.02  	5350395379457417728	  0.3755 	0.0238	 -5.833	0.039	  2.188	0.038	0	    25959.0 	      8.525  	14.6527	0.0004	    15557.0  	      29.448   	14.8715	0.0021	     17689.0 	     41.24    	14.1427	0.0025	 0.7289	   --- 	 --- 	6488.0 	---   	---   	  2.11	    7.122	  0.2  	Trumpler_15
 0.0408	 0.2428	 0.0721	 1406.502	  396.047	  568.511	1.241	19	 ---	161.18476681578	0.0167	-59.30910370802	0.0164	5350395997932709760	  0.3696 	0.0198	 -6.519	0.033	  2.141	0.031	1	    56831.0 	     40.406  	13.8019	0.0008	    31112.0  	      78.556   	14.1191	0.0027	     39434.0 	     69.363   	13.2722	0.0019	 0.8468	   --- 	 --- 	5730.91	---   	---   	  4.12	   16.478	  0.8  	Trumpler_15
 0.2349	 0.2355	 0.0348	 3150.074	  423.48 	  615.538	1.303	17	 ---	161.27396216589	0.0209	-59.39362937849	0.0234	5350392119603591296	  0.3821 	0.0261	 -6.096	0.043	  1.995	0.045	0	    19265.0 	      6.1157 	14.9765	0.0003	    11768.0  	      27.789   	15.1746	0.0026	     13327.0 	     21.65    	14.4501	0.0018	 0.7245	   --- 	 --- 	6648.35	---   	---   	  1.7 	    5.103	  1.0  	Trumpler_15
 0.0883	 0.2533	 0.0553	 2190.844	  220.124	  452.7  	1.317	18	 ---	161.16269295864	0.0201	-59.37130702353	0.0219	5350389503942146048	  0.3717 	0.0256	 -6.064	0.04 	  2.117	0.04 	0	    19493.0 	      8.8976 	14.9636	0.0005	    10360.0  	      47.064   	15.313 	0.0049	     15313.0 	     33.826   	14.2993	0.0024	 1.0137	   --- 	 --- 	5343.0 	---   	---   	  2.81	    5.803	  0.9  	Trumpler_15
 0.0996	 0.1385	 0.0172	 6053.56 	  431.001	  950.208	1.212	18	 ---	161.14622167268	0.0253	-59.39114798699	0.0239	5350389370824434944	  0.481  	0.0297	 -6.211	0.05 	  2.085	0.048	0	   168410.0 	     27.82   	12.6224	0.0002	   106230.0  	     246.46    	12.7858	0.0025	     97972.0 	    103.11    	12.2842	0.0011	 0.5016	   --- 	 --- 	7346.75	---   	---   	  3.3 	   28.532	  0.9  	Trumpler_15
-0.0991	 0.1265	 0.1105	  882.392	   87.447	  207.009	1.756	19	 ---	161.15400675308	0.0463	-59.43492663957	0.0475	5350388717989345792	  0.4249 	0.0561	 -7.521	0.096	  2.823	0.092	0	     3470.2 	      3.9327 	16.8375	0.0012	     1952.3  	      22.326   	17.125 	0.0124	      4141.8 	     20.008   	15.7189	0.0052	 1.4061	   --- 	 --- 	5025.33	---   	---   	  1.2 	    0.834	  0.5  	Trumpler_15
 0.0352	 0.2065	 0.1359	 2155.421	  240.621	  509.527	1.38 	19	 ---	161.15525022677	0.0202	-59.43679379058	0.0219	5350388717989343616	  0.3694 	0.0254	 -6.217	0.04 	  2.076	0.041	0	    17431.0 	      8.087  	15.0851	0.0005	     7295.5  	      30.319   	15.6938	0.0045	     16753.0 	     32.88    	14.2017	0.0021	 1.4921	   --- 	 --- 	4427.64	---   	---   	  4.39	    6.674	  0.9  	Trumpler_15
 0.1369	 0.0196	 0.0532	 3119.564	  549.059	  566.421	1.282	18	 ---	161.17764206924	0.0187	-59.44633448149	0.0192	5350388649269866752	  0.3935 	0.0225	 -6.008	0.04 	  1.774	0.04 	0	    27666.0 	      8.8685 	14.5835	0.0003	    16260.0  	      29.614   	14.8236	0.002 	     19216.0 	     33.925   	14.0528	0.0019	 0.7708	   --- 	 --- 	5993.2 	---   	---   	  2.45	    6.98 	  0.6  	Trumpler_15
