pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.0278	 0.1865	 0.2019	  360.109000000	    29.073000000	   42.116000000	1.241	11	 29.45549930795	0.2302	 54.09609792037	0.2236	 408295916334526720	  0.5980 	0.2698	 -2.198	0.608	  0.058	0.571	0	      477.64999	      1.32640	18.990600	0.003000	      199.60001	      6.86530 	19.601000	0.037300	      393.13000	      9.33430	18.275600	0.025800	 1.3254	       	     	       	      	      	      	         	0.00
 0.0395	 0.1684	 0.2341	  650.055000000	    41.821000000	   96.927000000	1.227	11	 29.31759294046	0.1095	 54.06875815816	0.1049	 408296328651407232	 -0.0254 	0.1268	 -1.737	0.286	 -1.077	0.267	0	     1483.30005	      2.28180	17.760300	0.001700	      745.67999	     17.83000 	18.170000	0.026000	     1074.90002	     11.09000	17.183500	0.011200	 0.9865	       	     	       	      	      	      	         	0.00
 0.0591	 0.2745	 0.3174	 5354.953000000	   957.353000000	 1275.852000000	1.205	10	 29.32861010797	0.0380	 54.06776582588	0.0318	 408296328651407488	  1.1766 	0.0389	 10.646	0.093	  0.096	0.080	0	   149910.00000	     27.99400	12.748800	0.000200	    82167.00000	     85.82700 	13.064600	0.001100	    98522.00000	     77.22100	12.278100	0.000900	 0.7866	       	     	5891.5 	      	      	  1.98	    4.250	0.00
 0.0719	 0.2247	 0.1719	  327.041000000	    21.800000000	   50.600000000	1.185	10	 29.34897399011	0.2451	 54.07256654067	0.2202	 408296363007127168	 -0.2489 	0.2580	 -1.281	0.596	 -0.497	0.560	0	      519.95001	      1.58990	18.898500	0.003300	      273.70999	     12.55600 	19.258200	0.049800	      342.56000	      6.77000	18.425100	0.021500	 0.8331	       	     	       	      	      	      	         	0.00
 0.0147	 0.1393	 0.3133	 1952.314000000	   184.788000000	  432.265000000	1.256	11	 29.37638859130	0.0345	 54.07587123474	0.0325	 408296397370878592	  0.5513 	0.0392	 -2.613	0.086	  1.571	0.081	0	    12999.00000	      6.65810	15.403600	0.000600	     5585.10010	     30.22400 	15.983800	0.005900	    10740.00000	     24.84500	14.684400	0.002500	 1.2994	       	     	4841.3 	1.6490	0.8635	  1.98	    1.938	0.00
-0.0407	 0.2124	 0.1942	  648.434000000	    69.489000000	  125.084000000	1.223	11	 29.36381097069	0.1185	 54.08369504885	0.1082	 408296393070231680	  0.1944 	0.1272	 -0.815	0.305	 -0.252	0.265	0	     1478.50000	      2.28010	17.763800	0.001700	      736.94000	     10.60500 	18.182800	0.015600	     1071.40002	      8.56550	17.187000	0.008700	 0.9958	       	     	       	      	      	      	         	0.00
 0.0362	 0.2150	 0.2133	  446.595000000	    30.099000000	   29.265000000	1.236	11	 29.35112582136	0.1890	 54.07213353566	0.1702	 408296363011142784	  0.1183 	0.2018	 -0.030	0.464	  0.183	0.419	0	      740.48999	      1.65810	18.514600	0.002400	      381.59000	     12.67800 	18.897400	0.036100	      533.31000	     18.22400	17.944500	0.037100	 0.9529	       	     	       	      	      	      	         	0.00
 0.0412	 0.1893	 0.2116	  297.176000000	    27.980000000	   46.752000000	1.230	11	 29.33397570784	0.1900	 54.07170288664	0.1744	 408296431730620800	  0.7710 	0.2128	 -2.604	0.480	  2.956	0.447	0	      646.19000	      2.17440	18.662500	0.003700	      250.27000	      8.94470 	19.355400	0.038800	      544.79999	     11.65300	17.921300	0.023200	 1.4340	       	     	       	      	      	      	         	0.00
-0.2460	 0.3452	 0.0546	  427.215000000	    22.581000000	  101.482000000	1.344	10	 29.37604114170	0.2252	 54.07863850314	0.1831	 408296397370877184	  0.9372 	0.2209	 -4.194	0.603	 -6.747	0.475	0	      842.03003	      1.97100	18.375000	0.002500	      260.12000	     11.52000 	19.313400	0.048100	      871.20001	      8.58480	17.411600	0.010700	 1.9018	       	     	       	      	      	      	         	0.00
 0.0341	 0.1756	 0.2756	  864.424000000	   152.373000000	  133.217000000	1.226	11	 29.33832286084	0.0789	 54.07801642022	0.0736	 408296431730617216	  0.3677 	0.0907	 -1.066	0.201	 -0.816	0.185	0	     2692.39990	      3.11470	17.113000	0.001300	     1393.69995	      9.14670 	17.491000	0.007100	     1906.00000	     14.30700	16.561600	0.008200	 0.9293	       	     	       	      	      	      	         	0.01
