pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.2985	 0.174 	 0.399 	  872.767	   46.718	  109.945	1.387	18	 ---	195.29118627543	0.0804	-64.09608014001	0.0829	5861908671450204544	  0.2273 	0.1146	 -8.748	0.148	 -1.193	0.15 	0	     1468.8 	      1.6829 	17.771 	0.0012	      491.51 	      10.521   	18.6226	0.0232	      1545.7 	     14.059   	16.7891	0.0099	 1.8334	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.886	UFMG53
 0.2515	 0.201 	 0.396 	  816.923	   59.873	   87.507	1.372	18	 ---	195.33681944319	0.0918	-64.05086456694	0.0982	5861909530443687040	  0.3849 	0.1399	 -8.896	0.184	 -0.921	0.181	0	     1302.6 	      1.5945 	17.9013	0.0013	      420.11 	       7.0167  	18.793 	0.0181	      1366.9 	     15.621   	16.9226	0.0124	 1.8704	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.998	UFMG53
 0.3202	 0.2286	 0.4355	 3545.851	  610.903	  839.377	1.285	18	 ---	195.26070383515	0.0206	-64.04910316123	0.0203	5861909667882639488	  0.3323 	0.0299	 -8.701	0.038	 -0.917	0.038	0	    18951.0 	      5.3447 	14.9943	0.0003	     7944.8  	      13.005   	15.6012	0.0018	     16405.0 	     19.544   	14.2245	0.0013	 1.3767	   --- 	 --- 	4931.88	---   	---   	  3.78	    7.602	  0.978	UFMG53
 0.3324	 0.2331	 0.4367	 2172.914	  253.173	  707.349	1.35 	18	 ---	195.27874264668	0.0288	-64.0524843327 	0.0295	5861909770961853952	  0.3418 	0.0435	 -8.322	0.053	 -1.249	0.055	0	     9072.8 	      4.1754 	15.794 	0.0005	     2813.7  	      11.114   	16.7282	0.0043	      9436.5 	     13.341   	14.8249	0.0015	 1.9033	   --- 	 --- 	3903.1 	1.7743	0.953 	  5.11	    5.454	  0.963	UFMG53
 0.3473	 0.1503	 0.372 	 1354.031	  110.074	  328.626	1.329	17	 ---	195.27801972923	0.0521	-64.04477603697	0.0532	5861909770961856000	  0.359  	0.0758	 -8.753	0.108	 -0.875	0.099	0	     3041.5 	      2.2462 	16.9807	0.0008	     1123.5  	      10.207   	17.7249	0.0099	      2917.8 	      8.8786  	16.0993	0.0033	 1.6257	   --- 	 --- 	4318.51	2.6307	1.3747	  --- 	    ---  	  1.0  	UFMG53
 0.4296	 0.3641	 0.4964	 2727.197	  434.795	  961.27 	1.294	17	 ---	195.28439240271	0.0241	-64.04495617016	0.0228	5861909770961856128	  0.2469 	0.0356	 -8.828	0.044	 -1.003	0.043	0	    15486.0 	      5.6783 	15.2135	0.0004	     6417.6  	      14.76    	15.833 	0.0025	     13627.0 	     14.176   	14.4259	0.0011	 1.4071	   --- 	 --- 	4515.44	---   	---   	  --- 	    ---  	  0.886	UFMG53
 0.179 	 0.1672	 0.3989	 1329.944	   94.295	  202.759	1.331	18	 ---	195.27047143415	0.0578	-64.04186365176	0.0588	5861909839681333120	  0.3    	0.0839	 -8.276	0.115	 -0.641	0.113	0	     2350.2 	      1.7672 	17.2606	0.0008	      844.78 	       8.9588  	18.0345	0.0115	      2282.5 	     11.257   	16.3659	0.0054	 1.6686	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.849	UFMG53
 0.2837	 0.1347	 0.4414	 2229.363	  203.716	  355.226	1.319	17	 ---	195.3107384518 	0.0374	-64.02109863557	0.0344	5861909869688544896	  0.293  	0.0522	 -8.787	0.07 	 -0.986	0.065	0	     5909.4 	      2.6507 	16.2595	0.0005	     2289.9  	      11.241   	16.9518	0.0053	      5502.2 	     15.489   	15.4106	0.0031	 1.5413	   --- 	 --- 	4335.0 	---   	---   	  --- 	    ---  	  0.942	UFMG53
 0.29  	 0.1296	 0.3821	 1801.03 	  226.838	  273.699	1.303	18	 ---	195.212737618  	0.0344	-64.04510011845	0.037 	5861921448937749376	  0.3756 	0.0522	 -8.488	0.07 	 -0.893	0.068	0	     5585.1 	      3.101  	16.3208	0.0006	     2178.5  	       9.6039  	17.006 	0.0048	      5099.5 	     18.632   	15.4931	0.004 	 1.5129	   --- 	 --- 	4354.67	---   	---   	  --- 	    ---  	  1.0  	UFMG53
