pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1943	 0.0612	 0.0654	  557.69 	   94.931	  259.849	1.483	15	 ---	126.6967539634 	0.0525	-51.00229270399	0.0556	5322372783730095616	  3.1168 	0.0612	-12.875	0.123	  3.318	0.129	0	     4639.1 	      8.3185 	16.5223	0.0019	      948.76 	       9.9942  	17.9085	0.0114	      5928.9 	     22.817   	15.3295	0.0042	 2.579 	   --- 	 --- 	3789.34	---   	---   	  --- 	    ---  	  1.0  	UPK_535
 0.1628	 0.2096	-0.1138	 2897.898	  711.358	  902.339	1.198	17	 0.0	127.48748179696	0.0204	-51.41351720535	0.0226	5322311108000215424	  3.0532 	0.0239	-12.735	0.044	  3.176	0.041	0	   382230.0 	    131.9    	11.7326	0.0004	   213130.0  	     299.6     	12.0298	0.0015	    244740.0 	    271.23    	11.2902	0.0012	 0.7396	  11.71	 2.07	6316.46	0.0663	0.033 	  1.05	    1.589	  1.0  	UPK_535
-0.0596	 0.0933	-0.0202	  685.809	   25.305	  169.628	1.558	15	 ---	127.10588026607	0.0911	-50.73806754232	0.1031	5322401091852451840	  2.8504 	0.1158	-12.209	0.197	  2.787	0.186	0	     1493.4 	      2.1776 	17.7529	0.0016	      233.12 	       9.2125  	19.4324	0.0429	      2093.6 	     12.342   	16.4597	0.0064	 2.9728	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	UPK_535
-0.1339	 0.0468	 0.0712	  883.664	   29.668	  182.529	1.578	16	 ---	127.68396470774	0.0868	-50.85556575151	0.0954	5322386935640048000	  2.989  	0.1038	-13.146	0.205	  3.225	0.196	0	     1746.9 	      1.9769 	17.5827	0.0012	      266.99 	       8.9992  	19.2852	0.0366	      2489.1 	     13.637   	16.2718	0.0059	 3.0133	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	UPK_535
-0.1067	 0.1315	 0.1454	  531.563	   78.984	  223.732	1.469	16	 ---	126.97690276671	0.0428	-50.90710069596	0.0504	5322397385302857600	  3.2067 	0.0539	-13.505	0.093	  3.446	0.095	0	     5506.5 	     10.359  	16.3362	0.002 	     1078.9  	      13.66    	17.7689	0.0137	      7012.3 	     31.343   	15.1473	0.0049	 2.6217	   --- 	 --- 	3672.28	---   	---   	  0.52	    0.044	  1.0  	UPK_535
 0.0345	 0.0251	-0.0961	 1944.616	  907.348	  726.174	1.148	16	 ---	127.01790847661	0.035 	-51.23540596125	0.0409	5322355397702683264	  3.3033 	0.0414	-13.787	0.078	  3.144	0.075	1	 10665000.0 	   5484.2    	 8.1185	0.0006	  7904000.0  	    8711.1     	 8.1068	0.0012	   4338000.0 	   5973.7     	 8.1687	0.0015	-0.0619	   --- 	 --- 	8562.5 	0.131 	0.0655	  --- 	    ---  	  1.0  	UPK_535
-0.1319	 0.167 	 0.0127	  461.019	   42.184	  195.82 	1.51 	15	 ---	127.67555790605	0.0594	-51.19585007436	0.0629	5322331414606029568	  3.0991 	0.0722	-13.627	0.137	  3.317	0.12 	0	     3893.9 	      8.4463 	16.7124	0.0024	      743.67 	      17.629   	18.1729	0.0257	      5138.1 	     26.239   	15.4849	0.0055	 2.688 	   --- 	 --- 	3697.78	---   	---   	  --- 	    ---  	  1.0  	UPK_535
-0.173 	 0.0615	 0.0029	  736.812	   22.146	  117.103	1.559	15	 ---	127.47263471996	0.1   	-50.77681518554	0.1076	5322391853384827136	  2.854  	0.1172	-12.391	0.23 	  2.816	0.214	0	     1225.8 	      1.6637 	17.9673	0.0015	      205.38 	       9.2739  	19.57  	0.049 	      1706.1 	     14.569   	16.6819	0.0093	 2.8881	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	UPK_535
-0.0219	 0.2037	-0.1935	  303.845	   89.892	  110.334	1.231	16	 ---	127.34238844116	0.022 	-50.84357820263	0.0233	5322389924937208576	  3.2374 	0.0251	-12.548	0.046	  3.372	0.047	0	   181730.0 	    598.09   	12.5398	0.0036	    84597.0  	     941.1     	13.033 	0.0121	    139100.0 	   1260.7     	11.9036	0.0098	 1.1294	   --- 	 --- 	4985.0 	0.712 	0.3657	  1.17	    0.759	  0.9  	UPK_535
