pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.0061	-0.1604	-0.1168	  720.128000000	    27.178000000	  217.648000000	1.697	15	304.47474523121	0.0975	 39.26215431321	0.1223	2061376872347267328	  0.2743 	0.1319	 -2.918	0.221	 -3.670	0.266	0	     1373.69995	      1.90750	17.843700	0.001500	      288.82999	     10.62700 	19.199800	0.039900	     2041.69995	      9.38080	16.486900	0.005000	 2.7128	       	     	       	      	      	      	         	0.00
-0.0083	-0.0964	 0.1581	 1235.602000000	    99.224000000	  201.449000000	1.442	15	304.48086282549	0.0477	 39.26389727058	0.0587	2061376807942513920	  0.3598 	0.0660	 -4.276	0.109	 -3.675	0.132	0	     3806.50000	      3.08070	16.737000	0.000900	     1243.00000	     12.52700 	17.615200	0.010900	     4247.89990	     21.08600	15.691500	0.005400	 1.9237	       	     	3999.0 	      	      	      	         	0.00
 0.0669	-0.0994	 0.1271	  805.314000000	    60.086000000	  112.389000000	1.436	15	304.48430655988	0.0800	 39.26374690140	0.0981	2061376807942512768	  0.2515 	0.1107	 -2.376	0.188	 -5.412	0.220	0	     1643.40002	      2.04070	17.649000	0.001300	      674.21002	     11.22100 	18.279400	0.018100	     1685.09998	     14.99400	16.695400	0.009700	 1.5840	       	     	       	      	      	      	         	0.02
-0.0124	-0.0873	 0.0962	 1721.072000000	   182.250000000	  483.096000000	1.335	15	304.48704600230	0.0350	 39.26686430066	0.0415	2061376807942512640	  0.1816 	0.0478	 -3.291	0.082	 -5.436	0.092	0	     6216.39990	      3.61200	16.204500	0.000600	     2588.19995	     14.20100 	16.818900	0.006000	     5709.89990	     11.81900	15.370400	0.002200	 1.4485	       	     	4464.1 	      	      	      	         	0.52
-0.0645	-0.2037	-0.0065	 2447.438000000	   322.911000000	  575.637000000	1.294	15	304.46100782732	0.0246	 39.26247659022	0.0305	2061376842301985920	  0.6249 	0.0338	 -4.245	0.055	 -9.916	0.065	0	    11288.00000	      4.61210	15.556800	0.000400	     4877.20020	     15.10400 	16.131000	0.003400	     9732.20020	     16.90700	14.791400	0.001900	 1.3396	       	     	4776.5 	      	      	  1.69	    1.333	0.00
 0.0155	-0.2531	-0.0057	  973.400000000	    36.221000000	  260.431000000	1.682	15	304.46454955212	0.0856	 39.26568921037	0.0959	2061376837989490432	  0.0350 	0.1131	 -3.139	0.198	 -4.869	0.202	0	     1800.59998	      1.84980	17.549800	0.001100	      394.00000	     10.87800 	18.862700	0.030000	     2634.80005	     10.11700	16.210100	0.004200	 2.6526	       	     	       	      	      	      	         	0.34
-0.0118	-0.1844	-0.1046	  827.527000000	    44.595000000	  130.184000000	1.460	15	304.47313124426	0.0702	 39.26364129204	0.0890	2061376876661714176	  0.3385 	0.0976	 -3.454	0.158	 -6.412	0.195	0	     1970.80005	      2.38160	17.451700	0.001300	      723.46997	     16.22300 	18.202800	0.024300	     2154.89990	     16.55200	16.428400	0.008300	 1.7745	       	     	       	      	      	      	         	0.01
-0.1174	-0.0260	-0.0169	  976.423000000	   140.754000000	  148.904000000	1.394	15	304.46764163564	0.0531	 39.27221608703	0.0647	2061376872347299584	  0.7206 	0.0721	 -0.193	0.128	 -6.509	0.169	0	     3028.89990	      3.10200	16.985200	0.001100	     1197.80005	      8.50950 	17.655500	0.007700	     3023.19995	     20.30300	16.060700	0.007300	 1.5947	       	     	4426.0 	      	      	  0.94	    0.305	0.00
-0.0271	-0.1950	 0.0549	 1463.034000000	   178.227000000	  433.138000000	1.452	16	304.46724466291	0.0308	 39.26165095789	0.0382	2061376842301979520	  0.2416 	0.0420	 -3.604	0.069	 -6.328	0.078	0	    12120.00000	      8.28390	15.479600	0.000700	     2858.19995	     16.03700 	16.711200	0.006100	    14741.00000	     34.03200	14.340600	0.002500	 2.3705	       	     	3426.3 	2.2253	1.1010	      	         	0.00
 0.0169	-0.0928	 0.1801	  955.071000000	    39.714000000	  235.940000000	1.791	14	304.45353938071	0.0674	 39.25770098357	0.0898	2061376842301989888	  0.1337 	0.0991	 -2.265	0.156	 -4.576	0.196	0	     4277.10010	      4.47830	16.610500	0.001100	      406.26001	     10.23000 	18.829400	0.027300	     7254.50000	     30.74700	15.110400	0.004600	 3.7190	       	     	3697.1 	2.8100	1.4280	      	         	0.00
