pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0003	 0.2942	 0.2116	   56.209	   14.343	   18.606	1.597	11	 ---	101.7224807956 	0.1133	  1.33386383636	0.1115	3125738698223721344	  0.4946 	0.1305	 -0.444	0.22 	  0.553	0.217	0	     1750.6 	     31.144  	17.5804	0.0193	      590.69 	      41.184   	18.423 	0.0757	      2204.8 	    118.5     	16.4035	0.0584	 2.0195	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	vdBergh_85
-0.0923	 0.3601	 0.2515	  626.54 	   26.699	  195.507	1.43 	10	 ---	101.6813561504 	0.1401	  1.31667888874	0.1336	3125738251547143168	  0.652  	0.1669	 -0.755	0.266	  0.238	0.26 	0	     1414.1 	      2.257  	17.8122	0.0017	      364.82 	      13.664   	18.9462	0.0407	      1657.8 	      8.4795  	16.7131	0.0056	 2.2331	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	vdBergh_85
-0.2609	 0.1983	 0.2693	  353.205	   54.227	  110.376	1.468	11	 ---	101.6534700533 	0.1235	  1.25968819867	0.1254	3125736293038585856	  0.6606 	0.1495	 -0.965	0.253	 -0.643	0.274	0	     1382.5 	      3.9143 	17.8367	0.0031	      629.06 	      11.601   	18.3547	0.02  	      1399.8 	     12.683   	16.8967	0.0098	 1.4579	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	vdBergh_85
-0.3048	 0.1734	 0.0919	  330.432	  108.013	  222.349	1.428	10	 ---	101.81581186878	0.0859	  1.27735969327	0.0857	3125725607163394432	  0.6122 	0.0937	 -1.45 	0.172	  0.809	0.184	0	     4048.6 	     12.253  	16.6701	0.0033	     1575.6  	      14.587   	17.3578	0.0101	      4207.0 	     18.921   	15.702 	0.0049	 1.6558	   --- 	 --- 	4291.0 	---   	---   	  --- 	    ---  	  0.1  	vdBergh_85
-0.1155	 0.4406	 0.2659	 1520.837	  482.831	  614.618	1.258	11	 ---	101.72600907646	0.0685	  1.3616090594 	0.0708	3125738870022401152	  0.4249 	0.0934	 -1.025	0.13 	  0.586	0.122	0	    17255.0 	     11.346  	15.0961	0.0007	     8143.4  	      16.866   	15.5744	0.0022	     13563.0 	     22.067   	14.431 	0.0018	 1.1433	   --- 	 --- 	4939.69	---   	---   	  --- 	    ---  	  0.8  	vdBergh_85
-0.037 	 0.4498	 0.3226	 1102.991	  251.493	  336.017	1.351	10	 ---	101.72514787027	0.0417	  1.30654842812	0.046 	3125738011028964736	  0.5218 	0.0575	 -0.599	0.082	  0.348	0.081	0	    11620.0 	     10.535  	15.5254	0.001 	     4930.7  	      19.606   	16.1191	0.0043	     10765.0 	     32.036   	14.6819	0.0032	 1.4372	   --- 	 --- 	4509.29	---   	---   	  2.41	    2.155	  0.8  	vdBergh_85
 0.0557	 0.3799	 0.2698	 1584.045	  558.935	  216.235	1.173	11	 ---	101.7151428993 	0.0396	  1.31581783164	0.0407	3125738079748441344	  0.6345 	0.0529	 -0.875	0.076	  0.497	0.073	0	  1701400.0 	   1074.1    	10.1113	0.0007	  1140700.0  	    2040.9     	10.2084	0.0019	    854850.0 	   3953.3     	 9.9322	0.005 	 0.2762	   --- 	 --- 	8335.0 	---   	---   	  --- 	    ---  	  0.8  	vdBergh_85
-0.0061	 0.3195	 0.1204	  119.111	   15.737	   41.233	1.452	10	 ---	101.75646808162	0.1041	  1.33432702434	0.1046	3125738526425018240	  0.6335 	0.1158	 -0.806	0.196	 -0.188	0.189	0	     2203.3 	     18.498  	17.3307	0.0091	      672.65 	      42.742   	18.2819	0.069 	      2525.7 	     61.255   	16.256 	0.0263	 2.026 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	vdBergh_85
-0.0682	 0.3348	 0.1654	  144.475	   38.364	   51.754	1.51 	11	 ---	101.72301776187	0.0649	  1.31039922666	0.0664	3125738011028963456	  0.4821 	0.0774	 -0.964	0.123	  0.471	0.12 	0	     5279.8 	     36.545  	16.3818	0.0075	     1668.3  	      43.485   	17.2957	0.0283	      6302.8 	    121.79    	15.2631	0.021 	 2.0326	   --- 	 --- 	3821.23	---   	---   	  --- 	    ---  	  0.8  	vdBergh_85
