#   1                     2                  3          4         5      6    7         8      9    10      11     12      13     14      15     16      17      18      19     20      21     22      23     24      25     26      27
# SOURCE              CEPHEID_ID             L          B        DIST  dDIST AGE      PERIOD  MODE  I1     dI1     I2     dI2     I3     dI3     I4     dI4      W1     dW1     W2     dW2     W3     dW3     W4     dW4    A_Ks   SOURCE"
#   -                     -                (deg)      (deg)      (pc)  (pc) (Myr)      (d)     -   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)    (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)    -
OGLE-IV            OGLE-BLG-CEP-065       0.14177    1.28542    19331   865  130    4.5186140 F   12.202  0.069  12.174  0.084  12.209  0.163  11.801  0.119   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.670  -      
OGLE-III           OGLE-BLG-CEP-018       0.18909   -2.67713       -1     0  101    2.8467837 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-078       0.24164   -1.30227       -1     0  359    0.3247108 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-063       0.35541    1.67398    18326  1254  217    1.3795193 1O  13.266  0.097  12.977  0.168   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.510  -      
OGLE-IV            OGLE-BLG-CEP-059       0.38447    1.96189     6275   555  249    0.3494682 1O  12.754  0.090  13.160  0.182  12.653  0.259   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.445  -      
OGLE-IV            OGLE-BLG-CEP-098       0.47060   -6.65564       -1     0  267    0.6706528 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-IV            OGLE-BLG-CEP-058       0.50243    2.11348    20887   696  113    4.4882058 1O  11.656  0.059  11.765  0.081  11.702  0.109  11.745  0.111   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.513  -      
OGLE-IV            OGLE-BLG-CEP-082       0.78516   -1.25514       -1     0  154    1.1074519 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
OGLE-III           OGLE-BLG-CEP-024       0.92608   -3.41198    11050   653  247    0.3554251 1O  13.901  0.098  13.982  0.202   0.000  0.000   0.000  0.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.201  -      
OGLE-IV            OGLE-BLG-CEP-060       0.93668    2.14174    20429   997  134    4.6386757 F   12.203  0.085  12.314  0.122  11.972  0.129  11.873  0.201   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.549  -      
