# 	SNRa 	Literature 	Revised 	
		dist (kpc) 	distb (kpc) 	nobs
1	G0.0 + 0.0 	8	8.34 ± 0.16 	8.34
2	G0.3 + 0.0 	8.5	8.34 ± 0.16 	8.34
3	G0.9 + 0.1 	8.5	8.34 ± 0.16 	8.34
4	G1.0 − 0.1 	8	8.34 ± 0.16 	8.34
5	G1.4 − 0.1 	8.5	··· 	8.5
6	G1.9 + 0.3 	8.5	8.34 ± 0.16 	8.34
7	G4.5 + 6.8 	5.1+0.8 −0.7 	··· 	5.1
8	G5.4 − 1.2 	5.2	5.0 ± 0.3 	5
9	G5.5 + 0.3 	··· 	3.2 ± 0.7 	3.2
10	G5.7 − 0.1   	2.9 ± 0.3 	3.0 ± 0.7 	2.9
11	G6.4 − 0.1 	1.9 ± 0.3 	1.8 ± 0.3 	1.9
12	G7.5 − 1.7  	1.7	··· 	1.7
13	G7.7 − 3.7 	4.5 ± 1.5 	··· 	4.5
14	G8.3 + 0.0 	16.4	15.9 ± 1 	15.9
15	G8.7 − 0.1 	4.5	4.5 ± 0.3 	4.5
16	G9.7 + 0.0 	4.7	4.8 ± 0.2 	4.8
17	G9.9 − 0.8 	4	3.8 ± 0.3 	3.8
18	G11.0 + 0.0 	2.4 ± 0.7 	··· 	2.4
19	G11.2 − 0.3 	7.2	3.7 ± 0.2 	7.2
20	G12.0 − 0.1 	10	··· 	10
21	G12.2 + 0.3 	11.8	11.6 ± 0.3 	11.6
22	G12.8 + 0.0 	4.7	··· 	4.7
23	G13.3 − 1.3 	3.3 ± 1.3 	3.1 ± 0.3 	3.3
24	G15.1 − 1.6 	2.1	··· 	2.1
25	G15.4 + 0.1 	9.3 ± 1.3 	9.8 ± 1.3 	9.3
26	G15.9 + 0.2 	11.5 ± 4.5 	··· 	11.5
27	G16.0 − 0.5 	3.4	··· 	3.4
28	G16.7 + 0.1 	14	13.9 ± 0.4 	14
29	G17.4 − 2.3 	> 2.3 	··· 	2.3
30	G18.0 − 0.7  	3.1 ± 0.2 	··· 	3.1
31	G18.1 − 0.1 	6.4 ± 0.2 	··· 	6.4
32	G18.6 − 0.2 	4.4 ± 0.2 	··· 	4.4
33	G18.76 − 0.072   	4.7 ± 0.3 	··· 	4.7
34	G18.8 + 0.3 	13.8 ± 0.4 	··· 	13.8
35	G18.9 − 1.1 	2.1 ± 0.4 	··· 	2.1
36	G20.0 − 0.2 	11.2 ± 0.3 	··· 	11.2
37	G21.5 − 0.9 	4.4 ± 0.2 	··· 	4.4
38	G21.8 − 3.0   	0.33 ± 0.1 	··· 	0.33
39	G21.8 − 0.6 	5.6 ± 0.2 	··· 	5.6
40	G22.7 − 0.2 	4.7 ± 0.2 	··· 	4.7
41	G23.3 − 0.3 	4.8 ± 0.2 	··· 	4.8
42	G24.7 − 0.6 	3.8 ± 0.2 	··· 	3.8
43	G24.7 + 0.6 	3.5 ± 0.2 	··· 	3.5
44	G25.1 − 2.3 	2.9	2.7 ± 0.3 	2.9
45	G26.6 − 0.1   	1.3	··· 	1.3
46	G27.4 + 0.0 	5.8 ± 0.3 	··· 	5.8
47	G28.6 − 0.1 	9.6 ± 0.3 	··· 	9.6
48	G28.8 + 1.5 	3.4 ± 0.6 	··· 	3.4
49	G29.4 + 0.1   	6.5 ± 1 	··· 	6.5
50	G29.6 + 0.1 	4.7 ± 0.3 	··· 	4.7
51	G29.7 − 0.3 	5.6 ± 0.3 	··· 	5.6
52	G31.299− 0.493   	5 ± 0.3 	··· 	5
53	G31.9 + 0.0 	7.1 ± 0.4 	··· 	7.1
54	G32.1 − 0.9 	2	··· 	2
55	G32.4 + 0.1 	11.8	11.3 ± 0.3 	11.3
56	G32.8 − 0.1 	4.8 ± 0.3 	··· 	4.8
57	G33.6 + 0.1 	3.5 ± 0.3 	··· 	3.5
58	G34.7 − 0.4 	3 ± 0.3 	··· 	3
59	G35.6 − 0.4 	3.8 ± 0.3 	··· 	3.8
60	G38.7 − 1.3 	4	··· 	4
